##NAMES=Gaitite
##RRUFFID=R130625
##IDEAL CHEMISTRY=Ca^2+^_2_Zn^2+^(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Municipio de Pitiquito, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Grey to white tabular or granular crystals, associated with colorless irregular austinite and quartz
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130625
267.8940, 16.30920
268.3761, 17.48730
268.8582, 18.11865
269.3403, 19.33899
269.8224, 21.69275
270.3046, 25.01904
270.7867, 28.92249
271.2688, 33.76318
271.7509, 38.57214
272.2330, 43.40527
272.7151, 48.00854
273.1973, 52.03821
273.6794, 55.34595
274.1615, 58.32898
274.6436, 61.96326
275.1257, 66.94177
275.6078, 71.16553
276.0900, 74.50159
276.5721, 77.04688
277.0542, 78.95642
277.5363, 80.25854
278.0184, 80.68005
278.5005, 79.85901
278.9827, 78.07849
279.4648, 74.19531
279.9469, 66.87390
280.4290, 58.72559
280.9111, 51.52588
281.3932, 45.56775
281.8754, 39.94189
282.3575, 33.15271
282.8396, 23.95276
283.3217, 17.36646
283.8038, 14.80078
284.2859, 13.30347
284.7681, 11.30493
285.2502, 8.766846
285.7323, 6.660278
286.2144, 6.091553
286.6965, 7.398071
287.1786, 8.308105
287.6608, 8.988525
288.1429, 9.164307
288.6250, 8.187622
289.1071, 6.512207
289.5892, 5.304199
290.0714, 5.571533
290.5535, 7.340088
291.0356, 8.893066
291.5177, 10.82336
291.9998, 11.93103
292.4819, 11.13916
292.9641, 9.320923
293.4462, 8.114990
293.9283, 8.615601
294.4104, 10.54443
294.8925, 11.96777
295.3746, 11.34753
295.8568, 11.95374
296.3389, 15.43933
296.8210, 20.11755
297.3031, 23.55621
297.7852, 24.57532
298.2673, 24.04810
298.7495, 24.57880
299.2316, 27.21002
299.7137, 29.67731
300.1958, 31.30804
300.6779, 33.00226
301.1600, 35.72766
301.6422, 39.78784
302.1243, 44.69653
302.6064, 49.59253
303.0885, 54.60297
303.5706, 59.32831
304.0527, 64.10223
304.5349, 68.39478
305.0170, 71.91296
305.4991, 74.54822
305.9812, 76.22455
306.4633, 76.89502
306.9454, 76.71228
307.4276, 74.71497
307.9097, 71.14703
308.3918, 65.96863
308.8739, 58.20294
309.3560, 48.49274
309.8381, 38.99402
310.3203, 31.47559
310.8024, 26.07959
311.2845, 21.32202
311.7666, 17.45197
312.2487, 13.85535
312.7308, 10.24115
313.2130, 6.711426
313.6951, 3.438049
314.1772, 0.4658810
314.6593, 2.090454
315.1414, 3.272339
315.6235, 1.128357
316.1057, 0.1165770
316.5878, 0.8739620
317.0699, 3.000122
317.5520, 4.821777
318.0341, 5.695068
318.5162, 5.825134
318.9984, 5.687622
319.4805, 4.773315
319.9626, 4.255676
320.4447, 4.642273
320.9268, 5.136047
321.4089, 4.949524
321.8911, 3.894958
322.3732, 2.416809
322.8553, 1.085938
323.3374, 0.3631590
323.8195, 0.9111330
