##NAMES=Tetrawickmanite
##RRUFFID=R170046
##IDEAL CHEMISTRY=Mn^2+^Sn^4+^(OH)_6_
##LOCALITY=Mina San Martin, Sombrerete, Zacatecas, Mexico
##OWNER=RRUFF
##SOURCE=Peter Megaw
##DESCRIPTION=Yellow cubic or pseudo-octahedral crystals on quartz, associated with colorless cubic fluorite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R170046
278.0907, 900.8568
278.5728, 946.6835
279.0550, 992.9487
279.5371, 1038.309
280.0192, 1082.758
280.5013, 1127.064
280.9834, 1172.925
281.4655, 1218.894
281.9477, 1258.100
282.4298, 1290.386
282.9119, 1315.074
283.3940, 1331.889
283.8761, 1340.761
284.3582, 1339.683
284.8404, 1327.499
285.3225, 1305.501
285.8046, 1276.298
286.2867, 1239.815
286.7688, 1198.826
287.2509, 1154.775
287.7331, 1107.989
288.2152, 1060.199
288.6973, 1011.023
289.1794, 961.6264
289.6615, 914.7294
290.1436, 869.8182
290.6258, 827.5629
291.1079, 788.6093
291.5900, 752.7865
292.0721, 718.5021
292.5542, 685.8101
293.0363, 654.5850
293.5185, 624.9337
294.0006, 596.6938
294.4827, 570.5599
294.9648, 546.6381
295.4469, 524.6225
295.9290, 504.2007
296.4112, 485.3324
296.8933, 467.4846
297.3754, 450.0895
297.8575, 433.3165
298.3396, 417.4693
298.8217, 403.1750
299.3039, 389.9860
299.7860, 377.1750
300.2681, 364.5775
300.7502, 352.7062
301.2323, 343.2159
301.7144, 334.9098
302.1966, 325.3745
302.6787, 312.6181
303.1608, 298.5611
303.6429, 285.0969
304.1250, 272.3363
304.6071, 260.0720
305.0893, 248.9914
305.5714, 238.1954
306.0535, 226.5208
306.5356, 212.5494
307.0177, 198.5149
307.4998, 186.9148
307.9820, 177.3101
308.4641, 167.9628
308.9462, 157.4988
309.4283, 146.7705
309.9104, 136.8584
310.3925, 128.4276
310.8747, 120.3509
311.3568, 111.7939
311.8389, 103.0557
312.3210, 95.00357
312.8031, 88.33969
313.2852, 82.27618
313.7674, 76.14932
314.2495, 69.86581
