##NAMES=Kleinite
##RRUFFID=R060329
##IDEAL CHEMISTRY=Hg_2_N(Cl,S^6+^O_4_)&#183;nH_2_O
##LOCALITY=McDermott mine, Humboldt County, Nevada, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Light yellow hexagonal prismatic or tabular crystals, associated with orange or dark yellow platy terlinguacreekite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060329
221.8832, 295.0330
222.3653, 293.4001
222.8474, 291.7614
223.3295, 290.2015
223.8116, 288.8456
224.2938, 287.4313
224.7759, 285.6808
225.2580, 283.1292
225.7401, 281.4586
226.2222, 281.1645
226.7043, 281.8378
227.1865, 281.7275
227.6686, 280.5565
228.1507, 279.0144
228.6328, 277.5063
229.1149, 276.1525
229.5970, 274.5513
230.0792, 272.6324
230.5613, 270.4508
231.0434, 268.2224
231.5255, 265.7325
232.0076, 263.5576
232.4897, 262.1057
232.9719, 261.7901
233.4540, 261.2844
233.9361, 260.5139
234.4182, 259.5198
234.9003, 258.4030
235.3824, 257.0282
235.8646, 255.7240
236.3467, 254.6641
236.8288, 253.9567
237.3109, 253.2357
237.7930, 252.4249
238.2751, 251.5962
238.7573, 251.0007
239.2394, 250.6938
239.7215, 250.5293
240.2036, 250.4751
240.6857, 250.6825
241.1678, 250.6227
241.6500, 250.1218
242.1321, 249.3999
242.6142, 249.0096
243.0963, 249.0181
243.5784, 249.2683
244.0605, 249.7199
244.5427, 250.4652
245.0248, 251.1885
245.5069, 251.9039
245.9890, 252.5980
246.4711, 253.2116
246.9532, 253.6662
247.4354, 254.1862
247.9175, 254.8443
248.3996, 255.6431
248.8817, 256.6220
249.3638, 257.9474
249.8459, 259.3656
250.3281, 260.2917
250.8102, 260.1329
251.2923, 260.5401
251.7744, 262.3335
252.2565, 266.0677
252.7386, 268.7131
253.2208, 269.7620
253.7029, 270.0951
254.1850, 271.1745
254.6671, 273.4707
255.1492, 275.5849
255.6313, 276.9486
256.1135, 277.3613
256.5956, 278.3668
257.0777, 280.2396
257.5598, 282.4165
258.0419, 284.1112
258.5240, 285.0883
259.0062, 286.0739
259.4883, 287.3497
259.9704, 288.9388
260.4525, 290.1186
260.9346, 290.8413
261.4167, 291.2002
261.8989, 291.2078
262.3810, 290.6594
262.8631, 290.3348
263.3452, 290.5309
263.8273, 291.2493
264.3094, 291.5938
264.7916, 291.5611
265.2737, 291.1889
265.7558, 290.4422
266.2379, 289.2029
266.7200, 288.0208
267.2021, 287.0879
267.6843, 286.3416
268.1664, 284.9688
268.6485, 282.5870
269.1306, 280.3713
269.6127, 279.6924
270.0948, 281.1432
270.5770, 281.3897
271.0591, 279.5627
271.5412, 276.1315
272.0233, 273.3105
272.5054, 271.3030
272.9875, 269.4639
273.4697, 267.2537
273.9518, 264.5313
274.4339, 262.2903
274.9160, 260.8254
275.3981, 259.8197
275.8802, 258.1562
276.3624, 255.6750
276.8445, 253.2720
277.3266, 251.6515
277.8087, 250.8883
278.2908, 249.7850
278.7729, 248.1720
279.2551, 246.2593
279.7372, 244.5773
280.2193, 243.1594
280.7014, 241.7241
281.1835, 240.0050
281.6656, 238.0109
282.1478, 236.3710
282.6299, 235.1572
283.1120, 234.2104
283.5941, 233.3686
284.0762, 232.6416
284.5583, 231.7287
285.0405, 230.3269
285.5226, 228.5172
286.0047, 227.0642
286.4868, 226.0029
286.9689, 225.1944
287.4510, 224.5137
287.9332, 223.9540
288.4153, 223.3825
288.8974, 222.7064
289.3795, 221.9787
289.8616, 221.5419
290.3438, 221.4568
290.8259, 221.2349
291.3080, 220.0882
291.7901, 218.2070
292.2722, 216.6857
292.7543, 216.0466
293.2365, 215.9363
293.7186, 215.4851
294.2007, 214.6899
294.6828, 213.9677
295.1649, 213.8233
295.6470, 214.0831
296.1292, 214.1640
296.6113, 213.8775
297.0934, 213.3802
297.5755, 212.9089
298.0576, 212.4551
298.5397, 211.9500
299.0219, 211.2390
299.5040, 210.4417
299.9861, 209.8432
300.4682, 209.5509
300.9503, 209.3718
301.4324, 209.1168
301.9146, 208.7887
302.3967, 208.3827
302.8788, 207.8996
303.3609, 207.3387
303.8430, 206.6753
304.3251, 205.8726
304.8073, 205.0948
305.2894, 204.4691
305.7715, 203.9805
306.2536, 203.5765
306.7357, 203.3040
307.2178, 203.0639
307.7000, 202.7138
308.1821, 202.2197
308.6642, 201.8150
309.1463, 201.8216
309.6284, 202.0044
310.1105, 201.9973
310.5927, 201.5157
311.0748, 200.8818
311.5569, 200.2672
