##NAMES=Virgilluethite
##RRUFFID=R220017
##IDEAL CHEMISTRY=Mo^6+^O_3_&#183;H_2_O
##LOCALITY=Cooke's Peak, Cookes Range, Luna County, New Mexico, USA
##OWNER=RRUFF
##SOURCE=Ron Gibbs
##DESCRIPTION=Aggregates of yellow-green lamellas. Type sample
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R220017
##MEASURED CHEMISTRY=MoO_3_·H_2_O, which was calculated on the basis of 4 O apfu.
218.3082, 660.5725
218.7904, 666.2722
219.2725, 673.2512
219.7546, 681.8647
220.2367, 691.0222
220.7188, 699.5681
221.2009, 706.7053
221.6831, 720.0083
222.1652, 742.1458
222.6473, 768.0569
223.1294, 789.8098
223.6115, 803.7729
224.0936, 821.2485
224.5758, 845.9312
225.0579, 878.6238
225.5400, 912.8577
226.0221, 950.9263
226.5042, 988.5312
226.9863, 1019.479
227.4685, 1042.688
227.9506, 1061.569
228.4327, 1076.480
228.9148, 1087.112
229.3969, 1096.472
229.8790, 1106.234
230.3612, 1113.130
230.8433, 1112.865
231.3254, 1102.601
231.8075, 1089.891
232.2896, 1075.823
232.7717, 1060.158
233.2539, 1046.072
233.7360, 1035.260
234.2181, 1025.047
234.7002, 1011.737
235.1823, 992.0378
235.6644, 975.6296
236.1466, 965.2002
236.6287, 961.3188
237.1108, 958.0312
237.5929, 955.6575
238.0750, 953.9966
238.5571, 952.9050
239.0393, 952.5330
239.5214, 952.5784
240.0035, 952.5000
240.4856, 952.2029
240.9677, 955.1865
241.4498, 960.7341
241.9320, 970.0833
242.4141, 984.8279
242.8962, 1007.008
243.3783, 1030.989
243.8604, 1055.732
244.3425, 1081.178
244.8247, 1108.544
245.3068, 1138.384
245.7889, 1168.416
246.2710, 1197.147
246.7531, 1223.974
247.2352, 1251.149
247.7174, 1278.707
248.1995, 1306.465
248.6816, 1335.585
249.1637, 1367.532
249.6458, 1399.238
250.1279, 1427.656
250.6101, 1450.779
251.0922, 1475.429
251.5743, 1503.435
252.0564, 1534.583
252.5385, 1564.855
253.0206, 1594.055
253.5028, 1622.630
253.9849, 1650.181
254.4670, 1675.690
254.9491, 1702.687
255.4312, 1732.829
255.9133, 1764.793
256.3955, 1792.335
256.8776, 1813.607
257.3597, 1832.707
257.8418, 1852.062
258.3239, 1872.243
258.8061, 1891.026
259.2882, 1909.457
259.7703, 1926.653
260.2524, 1939.269
260.7345, 1946.969
261.2166, 1949.894
261.6988, 1947.995
262.1809, 1941.193
262.6630, 1931.367
263.1451, 1918.587
263.6272, 1902.895
264.1093, 1884.427
264.5915, 1861.707
265.0736, 1839.607
265.5557, 1821.699
266.0378, 1811.766
266.5199, 1791.952
267.0020, 1758.487
267.4842, 1718.052
267.9663, 1685.569
268.4484, 1662.758
268.9305, 1643.019
269.4126, 1624.216
269.8947, 1605.930
270.3769, 1588.460
270.8590, 1571.734
271.3411, 1555.449
271.8232, 1539.576
272.3053, 1523.958
272.7874, 1509.113
273.2696, 1495.770
273.7517, 1484.134
274.2338, 1468.423
274.7159, 1447.583
275.1980, 1424.399
275.6801, 1403.844
