##NAMES=Katoptrite
##RRUFFID=R140009
##IDEAL CHEMISTRY=Mn^2+^_13_Al_4_Sb^5+^_2_O_20_(SiO_4_)_2_
##LOCALITY=Brattfors mine, Nordmark, Filipstad, Värmland, Sweden
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Black grains, thin black splinters or flakes
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R140009
189.5814, 1.323517
190.0635, 1.324623
190.5456, 1.358047
191.0277, 1.509499
191.5098, 1.851250
191.9919, 2.219490
192.4741, 2.175606
192.9562, 1.698181
193.4383, 1.283943
193.9204, 1.392227
194.4025, 1.980339
194.8846, 2.261230
195.3668, 2.028946
195.8489, 1.567581
196.3310, 1.644135
196.8131, 2.330215
197.2952, 3.003662
197.7773, 3.151939
198.2595, 2.753540
198.7416, 2.623932
199.2237, 2.966743
199.7058, 3.551064
200.1879, 3.706779
200.6700, 3.371788
201.1522, 2.895103
201.6343, 2.448822
202.1164, 2.016373
202.5985, 1.811272
203.0806, 1.928261
203.5627, 2.253563
204.0449, 2.402580
204.5270, 2.324631
205.0091, 2.235420
205.4912, 2.318100
205.9733, 2.620201
206.4554, 2.798744
206.9376, 2.785873
207.4197, 2.629532
207.9018, 2.486183
208.3839, 2.327164
208.8660, 2.255379
209.3481, 2.391403
209.8303, 2.812340
210.3124, 3.084450
210.7945, 3.095810
211.2766, 2.934578
211.7587, 2.995903
212.2408, 3.388214
212.7230, 3.776291
213.2051, 3.903923
213.6872, 3.670410
214.1693, 3.563553
214.6514, 3.674995
215.1335, 3.951401
215.6157, 4.135376
216.0978, 4.176910
216.5799, 4.214691
217.0620, 4.377106
217.5441, 4.771111
218.0262, 4.951874
218.5084, 4.782486
218.9905, 4.353287
219.4726, 4.175285
219.9547, 4.306755
220.4368, 4.558517
220.9189, 4.814110
221.4011, 5.069191
221.8832, 5.378288
222.3653, 5.804703
222.8474, 6.270500
223.3295, 6.480568
223.8116, 6.334549
224.2938, 6.087189
224.7759, 5.858177
225.2580, 5.569305
225.7401, 5.512405
226.2222, 5.827354
226.7043, 6.382507
227.1865, 6.674576
227.6686, 6.553879
228.1507, 6.316109
228.6328, 6.148575
229.1149, 6.113548
229.5970, 5.995811
230.0792, 5.727089
230.5613, 5.366386
231.0434, 5.179184
231.5255, 5.276154
232.0076, 5.392288
232.4897, 5.386490
232.9719, 5.227783
233.4540, 5.010727
233.9361, 4.710564
234.4182, 4.359718
234.9003, 4.053345
235.3824, 3.766068
235.8646, 3.569771
236.3467, 3.498779
236.8288, 3.656120
237.3109, 3.713715
237.7930, 3.666855
238.2751, 3.513451
238.7573, 3.269287
239.2394, 2.779839
239.7215, 2.413582
240.2036, 2.368942
240.6857, 2.872971
241.1678, 3.175583
241.6500, 3.200066
242.1321, 3.042824
242.6142, 2.944565
243.0963, 2.920074
243.5784, 2.934174
244.0605, 2.957932
244.5427, 2.931755
245.0248, 3.083237
245.5069, 3.518295
245.9890, 4.090919
246.4711, 4.462357
246.9532, 4.525742
247.4354, 4.572906
247.9175, 4.740250
248.3996, 5.126053
248.8817, 5.301399
249.3638, 5.140900
249.8459, 4.842751
250.3281, 4.804634
250.8102, 5.235397
251.2923, 5.563217
251.7744, 5.558075
252.2565, 5.113052
252.7386, 4.780914
253.2208, 4.539146
253.7029, 4.427353
254.1850, 4.547630
254.6671, 5.079224
255.1492, 5.487457
255.6313, 5.550987
256.1135, 5.188934
256.5956, 5.038795
257.0777, 5.208420
257.5598, 5.485214
258.0419, 5.578964
258.5240, 5.425400
259.0062, 5.226845
259.4883, 5.009781
259.9704, 4.770142
260.4525, 4.654327
260.9346, 4.749153
261.4167, 4.862823
261.8989, 4.761055
262.3810, 4.377174
262.8631, 3.954842
263.3452, 3.515007
263.8273, 3.054611
264.3094, 2.800072
264.7916, 2.830704
265.2737, 2.935486
265.7558, 2.896500
266.2379, 2.660324
266.7200, 2.461403
267.2021, 2.354515
267.6843, 2.329277
268.1664, 2.276878
268.6485, 2.192322
269.1306, 2.089882
269.6127, 1.992638
270.0948, 1.915428
270.5770, 1.763008
271.0591, 1.475296
271.5412, 1.102982
272.0233, 0.9029160
272.5054, 0.9196700
272.9875, 0.9949190
273.4697, 1.021496
273.9518, 0.9933470
274.4339, 0.9498330
274.9160, 0.8851360
275.3981, 0.8147740
275.8802, 0.8083760
276.3624, 0.8959880
276.8445, 0.9332430
277.3266, 0.8031160
277.8087, 0.4922640
278.2908, 0.1999440
278.7729, 8.6319000E-02
279.2551, 0.3120120
279.7372, 0.2970120
280.2193, 1.8579999E-03
280.7014, 0.2807540
281.1835, 0.3704030
281.6656, 0.2708400
282.1478, 0.2415010
282.6299, 0.3203430
283.1120, 0.4036790
283.5941, 0.2573510
284.0762, 0.1360930
284.5583, 0.4096600
285.0405, 0.2938880
285.5226, 0.1521910
286.0047, 0.3467830
286.4868, 0.2483600
286.9689, 3.6651999E-02
287.4510, 7.4744999E-02
287.9332, 9.2528999E-02
288.4153, 9.4783999E-02
288.8974, 0.1182520
289.3795, 0.1520310
289.8616, 0.1416130
290.3438, 8.0619998E-02
290.8259, 1.9600000E-02
291.3080, 1.8588999E-02
291.7901, 6.7355998E-02
292.2722, 0.1376880
292.7543, 0.2935330
293.2365, 0.4249040
293.7186, 0.1343080
294.2007, 0.5855670
294.6828, 1.200680
295.1649, 1.043598
295.6470, 0.3572350
296.1292, 4.8294000E-02
296.6113, 0.1303440
297.0934, 0.5968250
297.5755, 0.9082600
298.0576, 1.075436
298.5397, 1.201160
299.0219, 1.418365
299.5040, 1.647678
299.9861, 1.683331
300.4682, 1.409348
300.9503, 1.089596
301.4324, 1.064262
301.9146, 1.281467
302.3967, 1.517300
302.8788, 1.625080
303.3609, 1.668415
303.8430, 1.745743
304.3251, 1.883991
304.8073, 2.004852
305.2894, 2.021446
305.7715, 1.962479
306.2536, 1.898510
306.7357, 1.732533
307.2178, 1.647861
307.7000, 1.950851
308.1821, 2.715923
308.6642, 3.350861
309.1463, 3.193169
309.6284, 2.654140
310.1105, 2.372639
310.5927, 2.925659
311.0748, 3.615978
311.5569, 3.959942
312.0390, 3.950668
312.5211, 3.821545
313.0032, 3.585075
313.4854, 3.365139
313.9675, 3.297569
314.4496, 3.569637
314.9317, 3.885818
315.4138, 4.111317
315.8959, 4.243324
316.3781, 4.349155
316.8602, 4.417816
317.3423, 4.547043
317.8244, 4.831062
318.3065, 5.533249
318.7886, 6.042831
319.2708, 6.019768
319.7529, 5.630554
320.2350, 5.356194
320.7171, 5.494133
321.1992, 5.630760
321.6813, 5.520782
322.1635, 4.984509
322.6456, 4.617374
323.1277, 4.697754
323.6098, 4.991905
324.0919, 5.109905
324.5740, 4.764889
325.0562, 4.440098
325.5383, 4.330765
326.0204, 4.544456
326.5025, 4.556839
326.9846, 4.127872
327.4667, 3.569366
327.9489, 3.207840
328.4310, 3.268993
328.9131, 3.280697
329.3952, 3.186264
329.8773, 2.984501
330.3594, 2.667885
330.8416, 2.079399
331.3237, 1.513763
331.8058, 1.196041
332.2879, 1.328281
332.7700, 1.359615
333.2521, 1.198589
333.7343, 0.8925670
334.2164, 0.6695100
334.6985, 0.5455740
335.1806, 0.4816890
335.6627, 0.4705660
336.1448, 0.5431670
336.6270, 0.5711750
337.1091, 0.5413740
337.5912, 0.4703220
338.0733, 0.3635440
338.5554, 0.1858480
339.0375, 4.7146000E-02
339.5197, 1.9005001E-02
340.0018, 1.3298000E-02
340.4839, 0.1298790
340.9660, 0.4659960
341.4481, 0.8138390
341.9302, 0.9165040
342.4124, 0.7518620
342.8945, 0.5342670
343.3766, 0.2797810
343.8587, 9.9790003E-03
344.3408, 0.1069640
344.8229, 5.6297000E-02
345.3051, 5.5431001E-02
345.7872, 0.1597710
346.2693, 0.2530210
346.7514, 0.3060910
347.2335, 0.3097950
347.7156, 0.2759210
348.1978, 0.1835750
348.6799, 4.2709000E-02
349.1620, 2.0645000E-02
349.6441, 0.1290090
350.1262, 0.4149130
350.6083, 0.6781770
351.0905, 0.9227520
351.5726, 1.085171
352.0547, 0.9531590
352.5368, 0.6258390
353.0189, 0.4165690
353.5010, 0.6087380
353.9832, 0.9454610
354.4653, 1.114628
354.9474, 1.097305
355.4295, 1.026642
355.9116, 0.9231830
356.3937, 0.8512500
356.8759, 0.9098210
357.3580, 1.373753
357.8401, 1.781296
358.3222, 1.707073
358.8043, 1.233578
359.2864, 0.8583680
359.7686, 0.8781620
360.2507, 1.093136
360.7328, 1.355770
361.2149, 1.747890
361.6970, 1.990818
362.1791, 1.896339
362.6613, 1.567604
363.1434, 1.242699
363.6255, 0.9196400
364.1076, 0.6781230
364.5897, 0.5727690
365.0718, 0.6516300
365.5540, 0.7278820
366.0361, 0.7747340
366.5182, 0.8000030
367.0003, 0.8132210
367.4824, 0.9035680
367.9645, 0.8925550
368.4467, 0.6443670
368.9288, 0.1434820
369.4109, 8.2328998E-02
369.8930, 0.2344970
370.3751, 0.6221580
370.8572, 0.7610660
371.3394, 0.5017090
371.8215, 0.2362020
372.3036, 8.0955997E-02
372.7857, 0.3829570
373.2678, 0.3990440
373.7499, 5.2288000E-02
374.2321, 0.4659920
374.7142, 0.5714340
375.1963, 0.2681580
375.6784, 0.1075210
376.1605, 0.1518400
376.6426, 0.2567670
377.1248, 0.1498530
