##NAMES=Alluaudite
##RRUFFID=R160082
##IDEAL CHEMISTRY=NaMn^2+^Fe^3+^_2_(PO_4_)_3_
##LOCALITY=Custer, South Dakota, USA
##OWNER=UAMM
##SOURCE=Rock Currier
##DESCRIPTION=Dark green massive, associated with muscovite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R160082
1.733991e+002, 6.741768e+001
1.738812e+002, 6.728722e+001
1.743633e+002, 6.739442e+001
1.748455e+002, 6.774687e+001
1.753276e+002, 6.800585e+001
1.758097e+002, 6.778487e+001
1.762918e+002, 6.736404e+001
1.767739e+002, 6.725811e+001
1.772560e+002, 6.774454e+001
1.777382e+002, 6.847207e+001
1.782203e+002, 6.898033e+001
1.787024e+002, 6.925871e+001
1.791845e+002, 6.934121e+001
1.796666e+002, 6.916048e+001
1.801487e+002, 6.882628e+001
1.806309e+002, 6.846099e+001
1.811130e+002, 6.810548e+001
1.815951e+002, 6.775755e+001
1.820772e+002, 6.740431e+001
1.825593e+002, 6.703675e+001
1.830414e+002, 6.668186e+001
1.835236e+002, 6.631607e+001
1.840057e+002, 6.597162e+001
1.844878e+002, 6.569991e+001
1.849699e+002, 6.554312e+001
1.854520e+002, 6.548091e+001
1.859341e+002, 6.538731e+001
1.864163e+002, 6.531149e+001
1.868984e+002, 6.513609e+001
1.873805e+002, 6.473885e+001
1.878626e+002, 6.423152e+001
1.883447e+002, 6.379989e+001
1.888268e+002, 6.357750e+001
1.893090e+002, 6.355900e+001
1.897911e+002, 6.353173e+001
1.902732e+002, 6.359622e+001
1.907553e+002, 6.355184e+001
1.912374e+002, 6.332191e+001
1.917195e+002, 6.293536e+001
1.922017e+002, 6.245107e+001
1.926838e+002, 6.190196e+001
1.931659e+002, 6.127666e+001
1.936480e+002, 6.077195e+001
1.941301e+002, 6.055591e+001
1.946122e+002, 6.027275e+001
1.950944e+002, 5.973370e+001
1.955765e+002, 5.897848e+001
1.960586e+002, 5.816888e+001
1.965407e+002, 5.742186e+001
1.970228e+002, 5.674358e+001
1.975049e+002, 5.616755e+001
1.979871e+002, 5.567791e+001
1.984692e+002, 5.528596e+001
1.989513e+002, 5.505067e+001
1.994334e+002, 5.495628e+001
1.999155e+002, 5.486096e+001
2.003976e+002, 5.464719e+001
2.008798e+002, 5.431805e+001
2.013619e+002, 5.400849e+001
2.018440e+002, 5.366109e+001
2.023261e+002, 5.337444e+001
2.028082e+002, 5.329371e+001
2.032903e+002, 5.343539e+001
2.037725e+002, 5.355285e+001
2.042546e+002, 5.336242e+001
2.047367e+002, 5.299055e+001
2.052188e+002, 5.280477e+001
2.057009e+002, 5.310759e+001
2.061830e+002, 5.353404e+001
2.066652e+002, 5.354250e+001
2.071473e+002, 5.303016e+001
2.076294e+002, 5.248077e+001
2.081115e+002, 5.227132e+001
2.085936e+002, 5.224050e+001
2.090757e+002, 5.214258e+001
2.095579e+002, 5.183627e+001
2.100400e+002, 5.142979e+001
2.105221e+002, 5.116155e+001
2.110042e+002, 5.111142e+001
2.114863e+002, 5.101617e+001
2.119685e+002, 5.063963e+001
2.124506e+002, 5.015535e+001
2.129327e+002, 4.983099e+001
2.134148e+002, 4.984292e+001
2.138969e+002, 5.007644e+001
2.143790e+002, 5.016310e+001
2.148612e+002, 4.997825e+001
2.153433e+002, 4.985227e+001
2.158254e+002, 4.990678e+001
2.163075e+002, 5.007985e+001
2.167896e+002, 5.030680e+001
2.172717e+002, 5.057979e+001
2.177539e+002, 5.085798e+001
2.182360e+002, 5.093044e+001
2.187181e+002, 5.051299e+001
2.192002e+002, 5.026801e+001
2.196823e+002, 5.045801e+001
2.201644e+002, 5.088457e+001
2.206466e+002, 5.128182e+001
2.211287e+002, 5.149494e+001
2.216108e+002, 5.154371e+001
2.220929e+002, 5.153375e+001
2.225750e+002, 5.136912e+001
2.230571e+002, 5.124957e+001
2.235393e+002, 5.124735e+001
2.240214e+002, 5.130370e+001
2.245035e+002, 5.132686e+001
2.249856e+002, 5.125830e+001
2.254677e+002, 5.111991e+001
2.259498e+002, 5.105108e+001
2.264320e+002, 5.117206e+001
2.269141e+002, 5.123265e+001
2.273962e+002, 5.115174e+001
2.278783e+002, 5.098983e+001
2.283604e+002, 5.084806e+001
2.288425e+002, 5.078795e+001
2.293247e+002, 5.078669e+001
2.298068e+002, 5.070976e+001
2.302889e+002, 5.042179e+001
2.307710e+002, 5.021670e+001
2.312531e+002, 5.024567e+001
2.317352e+002, 5.039043e+001
2.322174e+002, 5.043571e+001
2.326995e+002, 5.025871e+001
2.331816e+002, 4.991145e+001
2.336637e+002, 4.962101e+001
2.341458e+002, 4.939139e+001
2.346279e+002, 4.919958e+001
2.351101e+002, 4.904290e+001
2.355922e+002, 4.891998e+001
2.360743e+002, 4.883872e+001
2.365564e+002, 4.881383e+001
2.370385e+002, 4.881582e+001
2.375206e+002, 4.874337e+001
2.380028e+002, 4.853948e+001
2.384849e+002, 4.836611e+001
2.389670e+002, 4.832295e+001
2.394491e+002, 4.835237e+001
2.399312e+002, 4.830379e+001
2.404133e+002, 4.808297e+001
2.408955e+002, 4.779804e+001
2.413776e+002, 4.770978e+001
2.418597e+002, 4.790547e+001
2.423418e+002, 4.804658e+001
2.428239e+002, 4.792969e+001
2.433060e+002, 4.764204e+001
2.437882e+002, 4.742468e+001
2.442703e+002, 4.737122e+001
2.447524e+002, 4.741649e+001
2.452345e+002, 4.744382e+001
2.457166e+002, 4.744098e+001
2.461987e+002, 4.747514e+001
2.466809e+002, 4.757853e+001
2.471630e+002, 4.774460e+001
2.476451e+002, 4.796730e+001
2.481272e+002, 4.828137e+001
2.486093e+002, 4.859663e+001
2.490914e+002, 4.876224e+001
2.495736e+002, 4.876949e+001
2.500557e+002, 4.887336e+001
2.505378e+002, 4.930858e+001
2.510199e+002, 4.998242e+001
2.515020e+002, 5.050698e+001
2.519841e+002, 5.075635e+001
2.524663e+002, 5.090586e+001
2.529484e+002, 5.113321e+001
2.534305e+002, 5.142684e+001
2.539126e+002, 5.169234e+001
2.543947e+002, 5.186959e+001
2.548768e+002, 5.197083e+001
2.553590e+002, 5.207024e+001
2.558411e+002, 5.227284e+001
2.563232e+002, 5.232048e+001
2.568053e+002, 5.196971e+001
2.572874e+002, 5.131766e+001
2.577695e+002, 5.071224e+001
2.582516e+002, 5.039570e+001
2.587338e+002, 5.031652e+001
2.592159e+002, 5.021745e+001
2.596980e+002, 5.012258e+001
2.601801e+002, 4.995493e+001
2.606622e+002, 4.967694e+001
2.611443e+002, 4.930863e+001
2.616265e+002, 4.889016e+001
2.621086e+002, 4.841898e+001
2.625907e+002, 4.791461e+001
2.630728e+002, 4.748094e+001
2.635549e+002, 4.715010e+001
2.640370e+002, 4.684384e+001
2.645192e+002, 4.648677e+001
2.650013e+002, 4.613355e+001
2.654834e+002, 4.587332e+001
2.659655e+002, 4.576057e+001
2.664476e+002, 4.577034e+001
2.669297e+002, 4.582171e+001
2.674119e+002, 4.595399e+001
2.678940e+002, 4.606355e+001
2.683761e+002, 4.611364e+001
2.688582e+002, 4.612868e+001
2.693403e+002, 4.611813e+001
2.698224e+002, 4.606936e+001
2.703046e+002, 4.604138e+001
2.707867e+002, 4.622774e+001
2.712688e+002, 4.683156e+001
2.717509e+002, 4.728461e+001
2.722330e+002, 4.736940e+001
2.727151e+002, 4.731703e+001
2.731973e+002, 4.734637e+001
2.736794e+002, 4.754452e+001
2.741615e+002, 4.787117e+001
2.746436e+002, 4.827676e+001
2.751257e+002, 4.890980e+001
2.756078e+002, 4.931380e+001
2.760900e+002, 4.937288e+001
2.765721e+002, 4.926088e+001
2.770542e+002, 4.909060e+001
2.775363e+002, 4.890263e+001
2.780184e+002, 4.870993e+001
2.785005e+002, 4.854749e+001
2.789827e+002, 4.847315e+001
2.794648e+002, 4.829273e+001
2.799469e+002, 4.804127e+001
2.804290e+002, 4.767166e+001
2.809111e+002, 4.710656e+001
2.813932e+002, 4.635525e+001
2.818754e+002, 4.553826e+001
2.823575e+002, 4.480189e+001
2.828396e+002, 4.414720e+001
2.833217e+002, 4.358245e+001
2.838038e+002, 4.317460e+001
2.842859e+002, 4.278889e+001
2.847681e+002, 4.235620e+001
2.852502e+002, 4.187324e+001
2.857323e+002, 4.137990e+001
2.862144e+002, 4.091999e+001
2.866965e+002, 4.050322e+001
2.871786e+002, 4.005890e+001
2.876608e+002, 3.944941e+001
2.881429e+002, 3.893949e+001
2.886250e+002, 3.871643e+001
2.891071e+002, 3.870280e+001
2.895892e+002, 3.866862e+001
2.900714e+002, 3.841954e+001
2.905535e+002, 3.795280e+001
2.910356e+002, 3.753294e+001
2.915177e+002, 3.713287e+001
2.919998e+002, 3.680904e+001
2.924819e+002, 3.661992e+001
2.929641e+002, 3.651637e+001
2.934462e+002, 3.641431e+001
2.939283e+002, 3.626129e+001
2.944104e+002, 3.606065e+001
2.948925e+002, 3.582858e+001
2.953746e+002, 3.545432e+001
2.958568e+002, 3.517386e+001
2.963389e+002, 3.505444e+001
2.968210e+002, 3.503895e+001
2.973031e+002, 3.506326e+001
2.977852e+002, 3.509771e+001
2.982673e+002, 3.512643e+001
2.987495e+002, 3.510286e+001
2.992316e+002, 3.500845e+001
2.997137e+002, 3.487526e+001
3.001958e+002, 3.466975e+001
3.006779e+002, 3.444264e+001
3.011600e+002, 3.423940e+001
3.016422e+002, 3.407550e+001
3.021243e+002, 3.394403e+001
3.026064e+002, 3.383047e+001
3.030885e+002, 3.370300e+001
3.035706e+002, 3.366085e+001
3.040527e+002, 3.386703e+001
3.045349e+002, 3.404389e+001
3.050170e+002, 3.393029e+001
3.054991e+002, 3.350859e+001
3.059812e+002, 3.300514e+001
3.064633e+002, 3.270090e+001
3.069454e+002, 3.266775e+001
3.074276e+002, 3.259496e+001
3.079097e+002, 3.242026e+001
3.083918e+002, 3.226649e+001
3.088739e+002, 3.222995e+001
3.093560e+002, 3.228951e+001
3.098381e+002, 3.233704e+001
3.103203e+002, 3.226994e+001
3.108024e+002, 3.207673e+001
3.112845e+002, 3.195977e+001
3.117666e+002, 3.193738e+001
3.122487e+002, 3.195945e+001
3.127308e+002, 3.205820e+001
3.132130e+002, 3.218830e+001
3.136951e+002, 3.225301e+001
3.141772e+002, 3.218278e+001
3.146593e+002, 3.200453e+001
3.151414e+002, 3.190825e+001
3.156235e+002, 3.198333e+001
3.161057e+002, 3.203665e+001
3.165878e+002, 3.202064e+001
3.170699e+002, 3.196908e+001
3.175520e+002, 3.192972e+001
3.180341e+002, 3.192417e+001
3.185162e+002, 3.193926e+001
3.189984e+002, 3.194151e+001
3.194805e+002, 3.191506e+001
3.199626e+002, 3.189596e+001
3.204447e+002, 3.184477e+001
3.209268e+002, 3.182233e+001
3.214089e+002, 3.191958e+001
3.218911e+002, 3.214830e+001
3.223732e+002, 3.239533e+001
3.228553e+002, 3.249016e+001
3.233374e+002, 3.235139e+001
3.238195e+002, 3.225216e+001
3.243016e+002, 3.215644e+001
3.247838e+002, 3.212199e+001
3.252659e+002, 3.223329e+001
3.257480e+002, 3.246434e+001
3.262301e+002, 3.268142e+001
3.267122e+002, 3.274722e+001
3.271943e+002, 3.263709e+001
3.276765e+002, 3.257695e+001
3.281586e+002, 3.247566e+001
3.286407e+002, 3.250493e+001
3.291228e+002, 3.283942e+001
3.296049e+002, 3.335985e+001
3.300870e+002, 3.379583e+001
3.305692e+002, 3.395313e+001
3.310513e+002, 3.387943e+001
3.315334e+002, 3.394051e+001
3.320155e+002, 3.429086e+001
3.324976e+002, 3.461079e+001
3.329797e+002, 3.488269e+001
3.334619e+002, 3.509029e+001
3.339440e+002, 3.520390e+001
3.344261e+002, 3.521038e+001
3.349082e+002, 3.515132e+001
3.353904e+002, 3.512465e+001
3.358725e+002, 3.514585e+001
3.363546e+002, 3.517997e+001
3.368367e+002, 3.521732e+001
3.373188e+002, 3.527095e+001
3.378009e+002, 3.538427e+001
3.382831e+002, 3.555083e+001
3.387652e+002, 3.568424e+001
3.392473e+002, 3.565022e+001
3.397294e+002, 3.536089e+001
3.402115e+002, 3.517939e+001
3.406936e+002, 3.522990e+001
3.411758e+002, 3.526331e+001
3.416579e+002, 3.513736e+001
3.421400e+002, 3.487423e+001
3.426221e+002, 3.458802e+001
3.431042e+002, 3.437141e+001
3.435863e+002, 3.422417e+001
3.440685e+002, 3.410343e+001
3.445506e+002, 3.408424e+001
3.450327e+002, 3.401421e+001
3.455148e+002, 3.385551e+001
3.459969e+002, 3.362359e+001
3.464790e+002, 3.332253e+001
3.469612e+002, 3.294104e+001
3.474433e+002, 3.254261e+001
3.479254e+002, 3.233292e+001
3.484075e+002, 3.243846e+001
3.488896e+002, 3.254061e+001
