##NAMES=Ehrleite
##RRUFFID=R180029
##IDEAL CHEMISTRY=Ca_2_Zn^2+^Be(PO_4_)_2_(PO_3_OH)&#183;4H_2_O
##LOCALITY=Tip Top mine, Custer District, Custer Co., South Dakota, USA
##OWNER=RRUFF
##SOURCE=Tom Loomis
##DESCRIPTION=Colorless thick tabular crystals, twinned by a 2-fold parallel to (001)
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R180029
270.8590, 1.956413
271.3411, 1.480186
271.8232, 1.452736
272.3053, 1.975632
272.7874, 2.572914
273.2696, 3.157425
273.7517, 3.743774
274.2338, 3.870209
274.7159, 3.365303
275.1980, 2.728966
275.6801, 2.793976
276.1623, 3.730957
276.6444, 4.312790
277.1265, 3.878708
277.6086, 2.545464
278.0907, 2.409935
278.5728, 3.740784
279.0550, 5.493568
279.5371, 6.433441
280.0192, 6.488045
280.5013, 6.727806
280.9834, 7.513756
281.4655, 8.717323
281.9477, 9.537788
282.4298, 9.839226
282.9119, 10.36407
283.3940, 11.96372
283.8761, 14.62010
284.3582, 17.16640
284.8404, 19.22525
285.3225, 21.07516
285.8046, 23.75532
286.2867, 27.32331
286.7688, 30.83929
287.2509, 33.32864
287.7331, 34.93620
288.2152, 37.06079
288.6973, 40.15829
289.1794, 43.60714
289.6615, 45.99274
290.1436, 47.34188
290.6258, 48.34557
291.1079, 49.76232
291.5900, 51.31784
292.0721, 51.62172
292.5542, 50.21827
293.0363, 48.22001
293.5185, 47.39394
294.0006, 47.63235
294.4827, 47.96007
294.9648, 47.96849
295.4469, 47.65032
295.9290, 46.99946
296.4112, 46.01933
296.8933, 44.67396
297.3754, 42.74310
297.8575, 40.37532
298.3396, 38.05186
298.8217, 36.14275
299.3039, 34.37691
299.7860, 32.18340
300.2681, 29.50041
300.7502, 27.01207
301.2323, 25.63972
301.7144, 24.98477
302.1966, 24.14849
302.6787, 22.26459
303.1608, 20.28368
303.6429, 19.59388
304.1250, 20.13805
304.6071, 20.69459
305.0893, 20.01189
305.5714, 18.76077
306.0535, 18.04388
306.5356, 18.67533
307.0177, 19.46998
307.4998, 18.99497
307.9820, 17.54745
308.4641, 16.67513
308.9462, 17.75004
309.4283, 19.67271
309.9104, 21.21098
310.3925, 21.88313
310.8747, 22.72717
311.3568, 24.46304
311.8389, 26.79440
312.3210, 28.88692
312.8031, 30.40013
313.2852, 31.49454
313.7674, 32.16467
314.2495, 32.16538
314.7316, 32.48012
315.2137, 34.14389
315.6958, 36.38531
316.1779, 37.88565
316.6601, 38.03373
317.1422, 37.40669
317.6243, 36.06050
318.1064, 33.87652
318.5885, 31.88502
319.0706, 30.79582
319.5528, 30.01656
320.0349, 28.88557
320.5170, 26.59090
320.9991, 24.44082
321.4812, 22.82208
321.9633, 21.77974
322.4455, 21.13485
322.9276, 21.61343
323.4097, 22.00005
323.8918, 21.36482
324.3739, 18.00172
324.8560, 15.40136
325.3382, 14.69013
325.8203, 15.53070
326.3024, 15.51851
326.7845, 13.10169
327.2666, 10.84084
327.7487, 9.939064
328.2309, 11.91753
328.7130, 13.12975
329.1951, 13.23117
329.6772, 12.57651
330.1593, 12.03446
330.6414, 11.50067
331.1236, 11.20861
331.6057, 11.28584
332.0878, 11.90559
332.5699, 12.36228
333.0520, 12.52499
333.5341, 12.60594
334.0163, 12.92442
334.4984, 13.58929
334.9805, 14.26071
335.4626, 14.72452
335.9447, 14.94858
336.4268, 16.06456
336.9090, 18.61019
337.3911, 21.24149
337.8732, 22.52332
338.3553, 22.13985
338.8374, 21.66570
339.3195, 21.27610
339.8017, 21.02131
340.2838, 21.11845
340.7659, 21.57752
341.2480, 22.35322
341.7301, 23.51464
342.2122, 25.07219
342.6944, 26.62997
343.1765, 28.23577
343.6586, 29.68661
344.1407, 30.30907
344.6228, 30.07745
345.1049, 30.06316
345.5871, 30.78510
346.0692, 32.21915
346.5513, 34.16914
347.0334, 36.64104
347.5155, 39.56538
347.9977, 42.89075
348.4798, 46.60851
348.9619, 50.52262
349.4440, 54.96104
349.9261, 59.41219
350.4082, 62.45085
350.8904, 64.07930
351.3725, 65.95547
351.8546, 69.49080
352.3367, 74.34029
352.8188, 79.90422
353.3009, 86.48367
353.7831, 93.10471
354.2652, 98.12846
354.7473, 102.0007
355.2294, 106.7733
355.7115, 114.7028
356.1936, 123.7792
356.6758, 131.6777
357.1579, 137.7024
357.6400, 143.5808
358.1221, 150.9807
358.6042, 159.0863
359.0863, 166.4206
359.5685, 172.4727
360.0506, 177.4450
360.5327, 181.6169
361.0148, 185.0871
361.4969, 187.0183
361.9790, 186.4493
362.4612, 184.3857
362.9433, 181.9019
363.4254, 179.9057
363.9075, 176.9047
364.3896, 171.9576
364.8717, 165.2344
365.3539, 158.8160
365.8360, 153.7773
366.3181, 148.7503
366.8002, 142.8059
367.2823, 134.6194
367.7644, 127.0797
368.2466, 120.4922
368.7287, 114.6694
369.2108, 109.1735
369.6929, 104.1424
370.1750, 99.35371
370.6571, 94.79597
371.1393, 90.53739
371.6214, 85.83282
372.1035, 80.09814
372.5856, 74.30460
373.0677, 69.97187
373.5498, 68.10246
374.0320, 65.43900
374.5141, 60.87433
374.9962, 54.67421
375.4783, 50.02258
375.9604, 47.24857
376.4425, 45.16774
376.9247, 42.94121
377.4068, 40.58261
377.8889, 38.24902
378.3710, 35.94528
378.8531, 33.75047
379.3352, 31.77666
379.8174, 30.02602
380.2995, 28.48062
380.7816, 27.29154
381.2637, 26.38789
381.7458, 25.24070
382.2279, 23.72949
382.7101, 22.26592
383.1922, 21.43639
383.6743, 21.11661
384.1564, 20.69872
384.6385, 19.80007
385.1206, 18.69794
385.6028, 17.98771
386.0849, 17.64269
386.5670, 17.15507
387.0491, 15.95844
387.5312, 14.38457
388.0133, 12.89240
388.4955, 11.37942
388.9776, 10.36729
389.4597, 10.86005
389.9418, 12.33620
390.4239, 13.30383
390.9060, 12.50892
391.3882, 11.20167
391.8703, 10.36082
392.3524, 10.16687
392.8345, 10.02533
393.3166, 9.511391
393.7987, 8.920601
394.2809, 8.633415
394.7630, 9.145012
395.2451, 9.597443
395.7272, 9.591675
396.2093, 9.156998
396.6914, 8.944374
397.1736, 9.321808
397.6557, 9.806427
398.1378, 10.10486
398.6199, 10.14113
399.1020, 10.04205
399.5841, 9.531219
400.0663, 8.900543
400.5484, 8.884438
401.0305, 10.06172
401.5126, 11.12457
401.9947, 11.57073
402.4768, 11.22143
402.9590, 11.22459
403.4411, 11.76647
403.9232, 12.44898
404.4053, 12.77002
404.8874, 12.56321
405.3695, 12.59196
405.8517, 13.08263
406.3338, 13.90925
406.8159, 14.50319
407.2980, 14.81583
407.7801, 15.13631
408.2622, 15.66122
408.7444, 16.38169
409.2265, 17.19041
409.7086, 18.12502
410.1907, 19.03006
410.6728, 19.68387
411.1549, 20.10051
411.6371, 20.35384
412.1192, 20.36993
412.6013, 20.26857
413.0834, 20.40194
413.5655, 20.76717
414.0476, 20.90062
414.5298, 20.21141
415.0119, 19.07632
415.4940, 18.08488
415.9761, 17.38318
416.4582, 16.91787
416.9403, 16.88027
417.4225, 17.09892
417.9046, 17.06663
418.3867, 16.62132
418.8688, 15.76527
419.3509, 14.36201
419.8330, 12.24429
420.3152, 10.35318
420.7973, 9.029701
421.2794, 8.121964
421.7615, 7.444771
422.2436, 7.104767
422.7257, 6.841080
423.2079, 6.760574
423.6900, 6.807220
424.1721, 6.376495
424.6542, 4.964439
425.1363, 3.461876
425.6184, 2.290894
426.1006, 1.747444
426.5827, 1.004349
427.0648, 0.1980060
427.5469, 1.475475
428.0290, 2.076180
428.5111, 1.746731
428.9933, 1.300373
429.4754, 0.9175950
429.9575, 0.6017040
430.4396, 0.4662930
430.9217, 0.4799000
