##NAMES=Montgomeryite
##RRUFFID=R140664
##IDEAL CHEMISTRY=Ca_4_MgAl_4_(PO_4_)_6_(OH)_4_&#183;12H_2_O
##LOCALITY=Foote Mineral Company mine, Kings Mountain, North Carolina, USA
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Radial aggregates of colorless, bladed to platy crystals
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R140664
260.2524, 2.617371
260.7345, 3.088257
261.2166, 3.657532
261.6988, 4.046204
262.1809, 4.189575
262.6630, 4.316406
263.1451, 4.460510
263.6272, 4.624023
264.1093, 4.747375
264.5915, 4.729248
265.0736, 4.771179
265.5557, 5.279541
266.0378, 6.617188
266.5199, 7.428955
267.0020, 7.348877
267.4842, 6.603882
267.9663, 6.426758
268.4484, 6.967529
268.9305, 7.718872
269.4126, 8.319031
269.8947, 8.719116
270.3769, 9.133667
270.8590, 9.521973
271.3411, 9.952637
271.8232, 10.37561
272.3053, 10.88556
272.7874, 11.30573
273.2696, 11.38354
273.7517, 10.97205
274.2338, 10.88495
274.7159, 11.22156
275.1980, 11.82227
275.6801, 12.57410
276.1623, 13.69672
276.6444, 14.39435
277.1265, 13.71918
277.6086, 11.39764
278.0907, 10.87927
278.5728, 12.82275
279.0550, 15.87476
279.5371, 17.35657
280.0192, 17.03046
280.5013, 16.53888
280.9834, 16.60699
281.4655, 17.19391
281.9477, 17.67938
282.4298, 18.07288
282.9119, 18.52960
283.3940, 19.03424
283.8761, 19.53992
284.3582, 20.38440
284.8404, 22.00250
285.3225, 24.11676
285.8046, 25.05719
286.2867, 24.67584
286.7688, 24.04303
287.2509, 24.24127
287.7331, 25.22253
288.2152, 26.44934
288.6973, 27.97900
289.1794, 29.60406
289.6615, 30.51050
290.1436, 30.67377
290.6258, 30.58044
291.1079, 30.81110
291.5900, 31.25262
292.0721, 31.19177
292.5542, 30.24139
293.0363, 28.89404
293.5185, 28.17133
294.0006, 28.06885
294.4827, 28.17023
294.9648, 28.22040
295.4469, 28.22455
295.9290, 28.22565
296.4112, 28.30695
296.8933, 28.24365
297.3754, 27.64856
297.8575, 26.56305
298.3396, 25.24890
298.8217, 23.75201
299.3039, 22.16467
299.7860, 20.72400
300.2681, 19.48328
300.7502, 18.35059
301.2323, 17.06799
301.7144, 15.66980
302.1966, 14.42426
302.6787, 13.92743
303.1608, 13.60577
303.6429, 12.47498
304.1250, 10.35815
304.6071, 8.259705
305.0893, 7.091675
305.5714, 6.655090
306.0535, 6.521790
306.5356, 6.587585
307.0177, 6.767212
307.4998, 7.045776
307.9820, 7.431519
308.4641, 7.733215
308.9462, 7.942139
309.4283, 7.958435
309.9104, 7.636780
310.3925, 6.544434
310.8747, 5.419861
311.3568, 4.751953
311.8389, 4.513550
312.3210, 4.489624
312.8031, 4.676331
313.2852, 4.970215
313.7674, 5.262024
314.2495, 5.385742
314.7316, 5.682678
315.2137, 6.687988
315.6958, 8.078979
316.1779, 8.789429
316.6601, 7.434753
317.1422, 5.851135
317.6243, 5.369812
318.1064, 6.884460
318.5885, 8.122681
319.0706, 8.226318
319.5528, 7.525513
320.0349, 6.669312
320.5170, 5.318054
320.9991, 4.276001
321.4812, 4.034241
321.9633, 4.920288
322.4455, 5.530518
322.9276, 5.406982
323.4097, 4.927429
323.8918, 4.557556
324.3739, 4.557251
324.8560, 4.486023
325.3382, 4.151184
325.8203, 3.500366
326.3024, 3.117737
326.7845, 3.209961
327.2666, 3.499329
327.7487, 3.768433
328.2309, 4.110352
328.7130, 4.312195
329.1951, 4.070923
329.6772, 3.500671
330.1593, 3.814026
330.6414, 6.132935
331.1236, 8.254150
331.6057, 8.883545
332.0878, 6.616516
332.5699, 5.367798
333.0520, 5.531189
333.5341, 6.729492
334.0163, 8.070435
334.4984, 10.01154
334.9805, 11.28369
335.4626, 11.06488
335.9447, 8.610107
336.4268, 7.777893
336.9090, 9.468262
337.3911, 11.86249
337.8732, 11.75610
338.3553, 8.350586
338.8374, 5.256470
339.3195, 3.587341
339.8017, 3.320862
340.2838, 3.443726
340.7659, 4.064270
341.2480, 4.820313
341.7301, 5.423157
342.2122, 5.879456
342.6944, 5.950928
343.1765, 5.349182
343.6586, 4.429077
344.1407, 4.646301
344.6228, 6.100952
345.1049, 7.455750
345.5871, 7.501160
346.0692, 6.429260
346.5513, 5.588928
347.0334, 5.226074
347.5155, 5.017517
347.9977, 4.287354
348.4798, 3.116333
348.9619, 2.213074
