##NAMES=Adelite
##RRUFFID=R140962
##IDEAL CHEMISTRY=CaMgAs^5+^O_4_(OH)
##LOCALITY=Sterling Hill, Ogdensburg, Franklin Mining District, Sussex County, New Jersey, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Massive aggregate of smokey orange granular crystals, associated with red zincite and black franklinite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R140962
267.9663, 3.752686
268.4484, 3.752441
268.9305, 3.291748
269.4126, 2.838867
269.8947, 2.348633
270.3769, 2.069092
270.8590, 2.096191
271.3411, 2.319580
271.8232, 2.441162
272.3053, 2.480957
272.7874, 2.406494
273.2696, 2.104980
273.7517, 1.515137
274.2338, 1.202637
274.7159, 1.264404
275.1980, 1.532959
275.6801, 1.700439
276.1623, 1.770264
276.6444, 1.635254
277.1265, 1.394531
277.6086, 1.057617
278.0907, 0.5615230
278.5728, 4.177979
279.0550, 8.044922
279.5371, 8.436279
280.0192, 4.855469
280.5013, 1.841309
280.9834, 1.817871
281.4655, 4.677979
281.9477, 6.566895
282.4298, 7.249512
282.9119, 7.397949
283.3940, 7.716309
283.8761, 8.164307
284.3582, 9.136475
284.8404, 11.14160
285.3225, 13.85742
285.8046, 15.52637
286.2867, 16.08667
286.7688, 15.65967
287.2509, 13.43262
287.7331, 9.650635
288.2152, 7.907227
288.6973, 10.71387
289.1794, 16.07397
289.6615, 16.77319
290.1436, 12.55420
290.6258, 7.484863
291.1079, 5.317139
291.5900, 5.661133
292.0721, 6.403076
292.5542, 7.407471
293.0363, 8.209717
293.5185, 7.175049
294.0006, 4.359131
294.4827, 2.166260
294.9648, 2.925293
295.4469, 5.864990
295.9290, 8.582275
296.4112, 10.77002
296.8933, 12.28198
297.3754, 12.31787
297.8575, 11.12915
298.3396, 10.44873
298.8217, 11.84985
299.3039, 14.37671
299.7860, 15.87866
300.2681, 15.73755
300.7502, 15.69189
301.2323, 18.24463
301.7144, 22.67236
302.1966, 26.32275
302.6787, 27.76953
303.1608, 27.98218
303.6429, 28.21216
304.1250, 28.44873
304.6071, 28.18555
305.0893, 26.64722
305.5714, 24.67114
306.0535, 23.79761
306.5356, 24.90015
307.0177, 26.94531
307.4998, 29.25293
307.9820, 31.86206
308.4641, 34.06714
308.9462, 34.84595
309.4283, 35.05151
309.9104, 35.82031
310.3925, 37.82837
310.8747, 40.41968
311.3568, 43.05835
311.8389, 45.80444
312.3210, 49.03931
312.8031, 53.65186
313.2852, 58.60400
313.7674, 62.86206
314.2495, 65.06299
314.7316, 67.82275
315.2137, 72.65894
315.6958, 79.08350
316.1779, 85.40649
316.6601, 91.36987
317.1422, 96.88428
317.6243, 101.7847
318.1064, 105.6099
318.5885, 109.4514
319.0706, 113.3059
319.5528, 117.3862
320.0349, 122.1326
320.5170, 127.2295
320.9991, 133.3643
321.4812, 140.9346
321.9633, 150.2212
322.4455, 159.9519
322.9276, 170.5625
323.4097, 181.3772
323.8918, 191.5933
324.3739, 201.1125
324.8560, 209.7683
325.3382, 216.8022
325.8203, 221.9937
326.3024, 229.0803
326.7845, 239.9312
327.2666, 252.0454
327.7487, 263.5046
328.2309, 275.4465
328.7130, 285.1611
329.1951, 291.8975
329.6772, 295.8835
330.1593, 299.3506
330.6414, 302.6704
331.1236, 305.0549
331.6057, 306.1550
332.0878, 306.2146
332.5699, 304.3364
333.0520, 300.2656
333.5341, 294.2266
334.0163, 286.6235
334.4984, 276.4746
334.9805, 266.4700
335.4626, 257.6125
335.9447, 249.9856
336.4268, 243.2820
336.9090, 237.7964
