##NAMES=Edwindavisite
##RRUFFID=R230005
##IDEAL CHEMISTRY=Cu^2+^((C_2_)^6+^O_4_)(N^3-^H_3_)
##LOCALITY=125' Level, Rowley mine, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Joe Marty
##DESCRIPTION=Radiating clusters of bladed or prismatic grass-green crystals, associated with blue ammineite. Type sample
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R230005
1.719198e+002, 8.861758e+002
1.724019e+002, 8.825947e+002
1.728841e+002, 8.802539e+002
1.733662e+002, 8.806245e+002
1.738483e+002, 8.806128e+002
1.743304e+002, 8.763140e+002
1.748125e+002, 8.679867e+002
1.752946e+002, 8.589449e+002
1.757768e+002, 8.511467e+002
1.762589e+002, 8.443698e+002
1.767410e+002, 8.384208e+002
1.772231e+002, 8.333633e+002
1.777052e+002, 8.288556e+002
1.781873e+002, 8.242805e+002
1.786695e+002, 8.196306e+002
1.791516e+002, 8.156525e+002
1.796337e+002, 8.134396e+002
1.801158e+002, 8.125298e+002
1.805979e+002, 8.116588e+002
1.810800e+002, 8.105035e+002
1.815622e+002, 8.090424e+002
1.820443e+002, 8.066982e+002
1.825264e+002, 8.033314e+002
1.830085e+002, 8.007961e+002
1.834906e+002, 8.020020e+002
1.839727e+002, 8.060909e+002
1.844549e+002, 8.090986e+002
1.849370e+002, 8.093727e+002
1.854191e+002, 8.074117e+002
1.859012e+002, 8.043248e+002
1.863833e+002, 8.000023e+002
1.868654e+002, 7.953911e+002
1.873476e+002, 7.923565e+002
1.878297e+002, 7.905834e+002
1.883118e+002, 7.872250e+002
1.887939e+002, 7.800196e+002
1.892760e+002, 7.700104e+002
1.897581e+002, 7.624556e+002
1.902403e+002, 7.577476e+002
1.907224e+002, 7.537789e+002
1.912045e+002, 7.473619e+002
1.916866e+002, 7.385767e+002
1.921687e+002, 7.301400e+002
1.926508e+002, 7.234850e+002
1.931330e+002, 7.184193e+002
1.936151e+002, 7.128482e+002
1.940972e+002, 7.064898e+002
1.945793e+002, 7.003048e+002
1.950614e+002, 6.959918e+002
1.955435e+002, 6.936703e+002
1.960257e+002, 6.913886e+002
1.965078e+002, 6.880934e+002
1.969899e+002, 6.837762e+002
1.974720e+002, 6.803207e+002
1.979541e+002, 6.777956e+002
1.984362e+002, 6.759598e+002
1.989184e+002, 6.748531e+002
