##NAMES=Parasymplesite
##RRUFFID=R150137
##IDEAL CHEMISTRY=Fe^2+^_3_(As^5+^O_4_)_2_&#183;8H_2_O
##LOCALITY=Kiura Mine, Oita Pref., Kyushu Island, Japan
##OWNER=RRUFF
##SOURCE=Jeremie Pfister
##DESCRIPTION=Aggregates of dark-bluish grey euhedral crystals, associated with smoky scorodite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R150137
1.719528e+002, 1.955480e+003
1.724349e+002, 1.953015e+003
1.729170e+002, 1.951922e+003
1.733991e+002, 1.953547e+003
1.738812e+002, 1.955449e+003
1.743633e+002, 1.955397e+003
1.748455e+002, 1.953334e+003
1.753276e+002, 1.951639e+003
1.758097e+002, 1.952141e+003
1.762918e+002, 1.953972e+003
1.767739e+002, 1.955663e+003
1.772560e+002, 1.957232e+003
1.777382e+002, 1.958313e+003
1.782203e+002, 1.958124e+003
1.787024e+002, 1.956252e+003
1.791845e+002, 1.954504e+003
1.796666e+002, 1.953850e+003
1.801487e+002, 1.953887e+003
1.806309e+002, 1.954250e+003
1.811130e+002, 1.955026e+003
1.815951e+002, 1.955886e+003
1.820772e+002, 1.955827e+003
1.825593e+002, 1.954121e+003
1.830414e+002, 1.952677e+003
1.835236e+002, 1.952236e+003
1.840057e+002, 1.952412e+003
1.844878e+002, 1.952646e+003
1.849699e+002, 1.952570e+003
1.854520e+002, 1.952281e+003
1.859341e+002, 1.952449e+003
1.864163e+002, 1.953746e+003
1.868984e+002, 1.954751e+003
1.873805e+002, 1.954924e+003
1.878626e+002, 1.954598e+003
1.883447e+002, 1.954399e+003
1.888268e+002, 1.954823e+003
1.893090e+002, 1.955837e+003
1.897911e+002, 1.956195e+003
1.902732e+002, 1.955461e+003
1.907553e+002, 1.954541e+003
1.912374e+002, 1.953524e+003
1.917195e+002, 1.952510e+003
1.922017e+002, 1.951575e+003
1.926838e+002, 1.950731e+003
1.931659e+002, 1.949949e+003
1.936480e+002, 1.950055e+003
1.941301e+002, 1.952300e+003
1.946122e+002, 1.954045e+003
1.950944e+002, 1.953836e+003
1.955765e+002, 1.951995e+003
1.960586e+002, 1.949894e+003
1.965407e+002, 1.948607e+003
1.970228e+002, 1.948180e+003
1.975049e+002, 1.947804e+003
1.979871e+002, 1.947066e+003
1.984692e+002, 1.946671e+003
1.989513e+002, 1.947486e+003
1.994334e+002, 1.949364e+003
1.999155e+002, 1.950815e+003
2.003976e+002, 1.950328e+003
2.008798e+002, 1.948072e+003
2.013619e+002, 1.946967e+003
2.018440e+002, 1.947807e+003
2.023261e+002, 1.949407e+003
2.028082e+002, 1.951094e+003
2.032903e+002, 1.952863e+003
2.037725e+002, 1.953869e+003
2.042546e+002, 1.952698e+003
2.047367e+002, 1.950176e+003
2.052188e+002, 1.948668e+003
2.057009e+002, 1.949416e+003
2.061830e+002, 1.951085e+003
2.066652e+002, 1.951896e+003
2.071473e+002, 1.951690e+003
2.076294e+002, 1.951197e+003
2.081115e+002, 1.951110e+003
2.085936e+002, 1.951061e+003
2.090757e+002, 1.950316e+003
2.095579e+002, 1.947779e+003
2.100400e+002, 1.944705e+003
2.105221e+002, 1.943968e+003
2.110042e+002, 1.946705e+003
2.114863e+002, 1.949188e+003
2.119685e+002, 1.949059e+003
2.124506e+002, 1.947596e+003
2.129327e+002, 1.946659e+003
2.134148e+002, 1.947354e+003
2.138969e+002, 1.949069e+003
2.143790e+002, 1.949899e+003
2.148612e+002, 1.949480e+003
