##NAMES=Cerite-(CeCa)
##RRUFFID=R130614
##IDEAL CHEMISTRY=(Ce^3+^_7_Ca_2_)[box]Mg(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_
##LOCALITY=Mont Saint-Hilaire, Rouville County, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Don Doell
##DESCRIPTION=Hexagonal platy pink crystals, associated with catapleiite and aegirine. The color is dependent upon light source.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130614
221.2009, 34.57812
221.6831, 32.12207
222.1652, 24.99316
222.6473, 15.25781
223.1294, 8.961914
223.6115, 7.319336
224.0936, 8.084961
224.5758, 9.814453
225.0579, 12.90332
225.5400, 14.05566
226.0221, 13.75293
226.5042, 12.58203
226.9863, 10.75586
227.4685, 6.720703
227.9506, 4.244141
228.4327, 5.232422
228.9148, 11.40527
229.3969, 16.73926
229.8790, 20.14160
230.3612, 22.67480
230.8433, 27.86914
231.3254, 38.08984
231.8075, 47.32910
232.2896, 52.10547
232.7717, 48.14258
233.2539, 50.36328
233.7360, 62.49414
234.2181, 79.20215
234.7002, 87.91992
235.1823, 83.57812
235.6644, 78.49023
236.1466, 77.74121
236.6287, 83.51465
237.1108, 87.67383
237.5929, 89.92871
238.0750, 90.47168
238.5571, 89.41406
239.0393, 85.71875
239.5214, 82.04395
240.0035, 80.10938
240.4856, 82.34668
240.9677, 79.00684
241.4498, 66.72559
241.9320, 50.91211
242.4141, 41.20898
242.8962, 40.73438
243.3783, 41.75391
243.8604, 42.22852
244.3425, 42.64062
244.8247, 40.88184
245.3068, 36.57031
245.7889, 30.64062
246.2710, 23.79980
246.7531, 12.84082
247.2352, 6.007813
247.7174, 7.198242
248.1995, 18.22656
248.6816, 26.60742
249.1637, 30.89453
249.6458, 33.45801
250.1279, 37.98633
250.6101, 46.96973
251.0922, 52.56055
251.5743, 51.59473
252.0564, 42.96777
252.5385, 37.98145
253.0206, 37.92188
253.5028, 40.08594
253.9849, 41.16406
254.4670, 40.93164
254.9491, 40.35840
255.4312, 39.80664
255.9133, 39.31738
256.3955, 38.06250
256.8776, 36.15234
257.3597, 33.34082
257.8418, 28.62207
258.3239, 19.51465
258.8061, 14.37207
259.2882, 16.02148
259.7703, 24.33984
260.2524, 30.21680
260.7345, 33.63281
261.2166, 34.77246
261.6988, 32.99902
262.1809, 26.07031
262.6630, 22.96875
263.1451, 27.29883
263.6272, 37.75586
264.1093, 40.53809
264.5915, 32.53125
265.0736, 22.66797
265.5557, 19.06543
266.0378, 24.86914
266.5199, 25.46973
267.0020, 16.33203
267.4842, 0.4228520
267.9663, 6.208008
268.4484, 0.7138670
268.9305, 7.349609
269.4126, 11.52051
269.8947, 11.21289
270.3769, 9.391602
270.8590, 5.555664
271.3411, 0.7187500
271.8232, 1.732422
272.3053, 1.459961
272.7874, 1.9530000E-03
273.2696, 2.398438
273.7517, 6.132813
274.2338, 7.444336
274.7159, 5.060547
275.1980, 1.260742
275.6801, 2.597656
276.1623, 10.81836
276.6444, 16.69531
277.1265, 13.40918
277.6086, 6.8359002E-02
278.0907, 6.596680
278.5728, 4.041992
279.0550, 2.941406
279.5371, 7.029297
280.0192, 8.260742
280.5013, 6.166016
280.9834, 2.487305
281.4655, 17.36816
281.9477, 22.90625
282.4298, 17.73535
282.9119, 7.119141
283.3940, 2.681641
283.8761, 11.55762
284.3582, 19.03125
284.8404, 25.04883
285.3225, 29.38477
285.8046, 30.70801
286.2867, 28.54102
286.7688, 25.05859
287.2509, 22.85938
287.7331, 21.81934
288.2152, 19.99805
288.6973, 16.64160
289.1794, 12.25977
289.6615, 8.140625
290.1436, 4.374023
290.6258, 1.330078
291.1079, 0.1630860
291.5900, 0.2851560
292.0721, 0.4326170
292.5542, 0.6259770
293.0363, 1.131836
293.5185, 3.083008
294.0006, 6.385742
294.4827, 9.353516
294.9648, 11.49414
295.4469, 12.37695
295.9290, 10.15723
296.4112, 3.285156
296.8933, 4.588867
297.3754, 6.958984
297.8575, 4.497070
298.3396, 2.033203
298.8217, 1.153320
299.3039, 2.558594
299.7860, 8.160156
300.2681, 18.87402
300.7502, 31.58496
301.2323, 44.76074
301.7144, 57.45703
302.1966, 65.60156
302.6787, 63.60156
303.1608, 57.32422
303.6429, 55.43457
304.1250, 59.13574
304.6071, 63.20312
305.0893, 61.80859
305.5714, 57.26465
306.0535, 54.30273
306.5356, 57.84277
307.0177, 62.32617
307.4998, 61.03320
307.9820, 53.82422
308.4641, 47.73926
308.9462, 49.77637
309.4283, 55.64746
309.9104, 59.43750
310.3925, 57.11133
310.8747, 53.56641
311.3568, 51.97461
311.8389, 52.22266
312.3210, 52.99512
312.8031, 53.44434
313.2852, 54.22852
313.7674, 55.91992
314.2495, 57.86621
314.7316, 61.69824
315.2137, 70.62402
315.6958, 82.59277
316.1779, 90.78320
316.6601, 90.80664
317.1422, 86.93848
317.6243, 80.83398
318.1064, 69.48730
318.5885, 62.76465
319.0706, 67.09180
319.5528, 78.02051
320.0349, 87.00195
320.5170, 89.71973
320.9991, 91.44531
321.4812, 94.62500
321.9633, 100.1719
322.4455, 104.6689
322.9276, 108.3232
323.4097, 110.3936
323.8918, 109.9854
324.3739, 103.9746
324.8560, 98.55078
325.3382, 94.44238
325.8203, 91.25488
326.3024, 92.80957
326.7845, 107.7969
327.2666, 122.9424
327.7487, 127.6680
328.2309, 110.1504
328.7130, 95.97656
329.1951, 87.59375
329.6772, 84.66504
330.1593, 84.72559
330.6414, 90.42480
331.1236, 96.47266
331.6057, 99.71973
332.0878, 96.55176
332.5699, 96.94434
333.0520, 102.7441
333.5341, 111.8018
334.0163, 118.0400
334.4984, 119.4893
334.9805, 121.1162
335.4626, 125.6885
335.9447, 134.9072
336.4268, 139.7959
336.9090, 139.3350
337.3911, 135.7861
337.8732, 132.4521
338.3553, 129.0684
338.8374, 127.2363
339.3195, 127.7920
