##NAMES=Montgomeryite
##RRUFFID=R140664
##IDEAL CHEMISTRY=Ca_4_MgAl_4_(PO_4_)_6_(OH)_4_&#183;12H_2_O
##LOCALITY=Foote Mineral Company mine, Kings Mountain, North Carolina, USA
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Radial aggregates of colorless, bladed to platy crystals
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R140664
281.8754, 10.57880
282.3575, 10.81183
282.8396, 10.32837
283.3217, 10.05951
283.8038, 10.19666
284.2859, 10.43011
284.7681, 10.61597
285.2502, 10.71094
285.7323, 10.68109
286.2144, 10.37891
286.6965, 9.591125
287.1786, 9.898010
287.6608, 12.47083
288.1429, 14.87469
288.6250, 16.17487
289.1071, 16.46533
289.5892, 16.31262
290.0714, 16.14313
290.5535, 15.96021
291.0356, 15.75446
291.5177, 15.37781
291.9998, 15.14160
292.4819, 15.29138
292.9641, 15.63696
293.4462, 15.81525
293.9283, 15.61694
294.4104, 15.06403
294.8925, 14.59204
295.3746, 14.09253
295.8568, 13.87579
296.3389, 14.18311
296.8210, 14.74542
297.3031, 15.34125
297.7852, 15.87750
298.2673, 16.12323
298.7495, 15.38763
299.2316, 12.22198
299.7137, 9.827026
300.1958, 8.665955
300.6779, 8.148438
301.1600, 7.737122
301.6422, 7.236938
302.1243, 6.702332
302.6064, 6.236877
303.0885, 5.836731
303.5706, 5.526001
304.0527, 5.222290
304.5349, 5.053101
305.0170, 5.225525
305.4991, 5.721802
305.9812, 6.239746
306.4633, 6.407837
306.9454, 6.146057
307.4276, 5.789978
307.9097, 5.203125
308.3918, 4.667664
308.8739, 4.301331
309.3560, 4.129211
309.8381, 4.199829
310.3203, 4.625366
310.8024, 5.471497
311.2845, 5.626221
311.7666, 4.163269
312.2487, 3.060486
312.7308, 3.354492
313.2130, 4.550293
313.6951, 5.531433
314.1772, 5.578674
314.6593, 4.800842
315.1414, 3.963013
315.6235, 2.626831
316.1057, 1.719788
316.5878, 1.530273
317.0699, 1.810242
317.5520, 2.399170
318.0341, 3.226257
318.5162, 4.017822
318.9984, 4.047302
319.4805, 1.965942
319.9626, 0.9023440
320.4447, 1.820129
320.9268, 3.254456
321.4089, 3.820862
321.8911, 3.172546
322.3732, 1.995056
322.8553, 1.288391
323.3374, 1.340332
323.8195, 1.193726
324.3016, 0.3791500
324.7838, 0.2393800
325.2659, 0.1038210
325.7480, 1.302185
326.2301, 2.536865
326.7122, 2.987610
327.1943, 2.540588
327.6765, 2.211243
328.1586, 1.974182
328.6407, 1.850708
329.1228, 2.011047
329.6049, 2.288757
330.0870, 2.267822
330.5692, 1.606201
331.0513, 0.4599000
331.5334, 5.4443002E-02
332.0155, 1.541687
332.4976, 2.497009
