##NAMES=Edwindavisite
##RRUFFID=R230005
##IDEAL CHEMISTRY=Cu^2+^((C_2_)^6+^O_4_)(N^3-^H_3_)
##LOCALITY=125' Level, Rowley mine, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Joe Marty
##DESCRIPTION=Radiating clusters of bladed or prismatic grass-green crystals, associated with blue ammineite. Type sample
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R230005
217.3204, 4.356548
217.8026, 4.710110
218.2847, 5.776978
218.7668, 7.472370
219.2489, 8.228001
219.7310, 6.943092
220.2131, 5.935165
220.6953, 6.005222
221.1774, 6.835308
221.6595, 7.711823
222.1416, 8.174908
222.6237, 8.235962
223.1058, 8.024872
223.5880, 7.167110
224.0701, 6.468197
224.5522, 6.220448
225.0343, 6.359127
225.5164, 6.704712
225.9985, 7.156219
226.4807, 7.711678
226.9628, 8.322754
227.4449, 9.220879
227.9270, 9.947426
228.4091, 10.21198
228.8912, 10.10283
229.3733, 9.897144
229.8555, 9.701984
230.3376, 9.595997
230.8197, 9.863884
231.3018, 10.79329
231.7839, 11.68860
232.2660, 12.15842
232.7482, 12.26053
233.2303, 12.25938
233.7124, 12.19153
234.1945, 12.20041
234.6766, 12.64851
235.1587, 13.95853
235.6409, 15.16509
236.1230, 15.42095
236.6051, 14.85384
237.0872, 14.57646
237.5693, 15.38889
238.0514, 16.70589
238.5336, 17.31628
239.0157, 16.98299
239.4978, 16.28153
239.9799, 15.51159
240.4620, 14.68373
240.9441, 14.03778
241.4263, 13.62352
241.9084, 13.49912
242.3905, 13.86754
242.8726, 15.01469
243.3547, 15.90424
243.8368, 15.30435
244.3190, 13.18083
244.8011, 11.44714
245.2832, 10.91123
245.7653, 10.97699
246.2474, 11.11495
246.7295, 11.26485
247.2117, 11.46249
247.6938, 11.94038
248.1759, 12.75505
248.6580, 12.91603
249.1401, 11.45894
249.6222, 9.733372
250.1044, 8.706520
250.5865, 8.495399
251.0686, 8.603096
251.5507, 8.642574
252.0328, 8.635235
252.5149, 8.334141
252.9971, 7.148361
253.4792, 6.060944
253.9613, 5.744400
254.4434, 6.202602
254.9255, 6.835800
255.4076, 7.107235
255.8898, 7.008747
256.3719, 6.617550
256.8540, 5.488590
257.3361, 4.406498
257.8182, 3.737038
258.3003, 3.479206
258.7824, 3.410000
259.2646, 3.349377
259.7467, 3.304386
260.2288, 3.209946
260.7109, 2.897625
261.1930, 2.687935
261.6751, 2.833042
262.1573, 3.225353
262.6394, 3.514729
263.1215, 3.347771
263.6036, 2.677120
264.0857, 2.152275
264.5678, 1.892071
265.0500, 1.685356
265.5321, 1.505245
266.0142, 1.325832
266.4963, 1.095707
266.9784, 0.7324830
267.4605, 0.2385860
267.9427, 0.1012650
268.4248, 1.071911
268.9069, 1.669617
269.3890, 1.151867
269.8711, 1.6326999E-02
270.3532, 0.8991050
270.8354, 0.8363990
271.3175, 8.1223004E-02
271.7996, 0.8043140
272.2817, 1.085678
272.7638, 1.439205
273.2459, 2.262241
273.7281, 3.147282
274.2102, 3.374352
274.6923, 2.464653
275.1744, 0.7427860
275.6565, 0.1488230
276.1386, 0.9280430
276.6208, 1.644871
277.1029, 1.572254
277.5850, 1.076698
278.0671, 0.5768170
278.5492, 0.2578960
279.0313, 5.6141000E-02
279.5135, 0.1742250
279.9956, 0.4192350
280.4777, 0.5708390
280.9598, 0.6345940
281.4419, 0.6024670
281.9240, 0.4282490
282.4062, 9.7842999E-02
282.8883, 0.3012540
283.3704, 0.5935360
283.8525, 0.8218420
284.3346, 0.8535880
284.8167, 0.3188670
285.2989, 0.2039110
285.7810, 1.4427000E-02
286.2631, 1.092892
286.7452, 2.246868
287.2273, 2.223221
287.7094, 8.4766001E-02
288.1916, 1.063091
288.6737, 0.3308870
289.1558, 2.225590
289.6379, 3.435837
290.1200, 3.799759
290.6021, 3.449215
291.0843, 2.433624
291.5664, 0.4211690
292.0485, 0.2810170
292.5306, 1.539650
293.0127, 3.482487
293.4948, 4.064278
293.9770, 3.322933
294.4591, 2.194740
294.9412, 1.467728
295.4233, 1.174324
295.9054, 1.046223
296.3875, 1.047108
296.8697, 1.024532
297.3518, 1.079227
297.8339, 1.216595
298.3160, 1.412773
298.7981, 1.684635
299.2802, 2.004616
299.7624, 2.010448
300.2445, 1.104858
300.7266, 0.4583970
301.2087, 0.7759400
301.6908, 1.649956
302.1729, 2.263363
302.6551, 2.156322
303.1372, 1.587555
303.6193, 1.481770
304.1014, 2.373165
304.5835, 3.043991
305.0656, 3.241146
305.5477, 3.146160
306.0298, 2.993801
306.5120, 2.871731
306.9941, 2.720966
307.4762, 2.414799
307.9583, 1.740784
308.4404, 1.289574
308.9225, 1.242329
309.4047, 1.348949
309.8868, 1.317177
310.3689, 1.088722
310.8510, 0.9067080
311.3331, 1.135197
311.8152, 2.057728
312.2974, 2.487225
312.7795, 1.740440
313.2616, 1.018078
313.7437, 1.457409
314.2258, 2.994389
314.7079, 4.386703
315.1901, 4.370686
315.6722, 2.720371
316.1543, 1.989067
316.6364, 2.966534
317.1185, 3.969460
317.6006, 4.013912
318.0828, 3.331146
318.5649, 2.809586
319.0470, 3.085896
319.5291, 4.064434
320.0112, 4.704338
320.4933, 4.996044
320.9755, 5.035713
321.4576, 4.670795
321.9397, 4.082943
322.4218, 3.581425
322.9039, 3.319229
323.3860, 3.252228
323.8682, 3.251213
324.3503, 3.308041
324.8324, 3.441357
325.3145, 3.716305
325.7966, 4.042397
326.2787, 4.349537
326.7609, 4.607761
327.2430, 4.786156
327.7251, 4.857922
328.2072, 4.928516
328.6893, 4.568977
329.1714, 3.156612
329.6536, 1.778114
330.1357, 1.409935
330.6178, 2.085377
331.0999, 2.998131
331.5820, 3.300510
332.0641, 2.870811
332.5463, 2.495689
333.0284, 2.341293
333.5105, 2.063709
333.9926, 1.361645
