##NAMES=Ondrusite
##RRUFFID=R141029
##IDEAL CHEMISTRY=CaCu^2+^_4_(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_&#183;10H_2_O
##LOCALITY=Svornost mine, Jáchymov, Krušné Hory Mts, Karlovy Vary, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Pale green thin bladed crystals with striations parallel to the elongated direction, associated with quartz
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R141029
1.710608e+002, 1.573873e+003
1.715429e+002, 1.575119e+003
1.720250e+002, 1.576656e+003
1.725072e+002, 1.578147e+003
1.729893e+002, 1.579011e+003
1.734714e+002, 1.579690e+003
1.739535e+002, 1.580989e+003
1.744356e+002, 1.584039e+003
1.749177e+002, 1.587555e+003
1.753999e+002, 1.589948e+003
1.758820e+002, 1.591101e+003
1.763641e+002, 1.591868e+003
1.768462e+002, 1.592990e+003
1.773283e+002, 1.594347e+003
1.778104e+002, 1.595661e+003
1.782926e+002, 1.596644e+003
1.787747e+002, 1.597496e+003
1.792568e+002, 1.598606e+003
1.797389e+002, 1.600003e+003
1.802210e+002, 1.601383e+003
1.807031e+002, 1.602292e+003
1.811853e+002, 1.602833e+003
1.816674e+002, 1.603385e+003
1.821495e+002, 1.604629e+003
1.826316e+002, 1.606002e+003
1.831137e+002, 1.605946e+003
1.835958e+002, 1.604190e+003
1.840780e+002, 1.601875e+003
1.845601e+002, 1.600122e+003
1.850422e+002, 1.599013e+003
1.855243e+002, 1.598728e+003
1.860064e+002, 1.600101e+003
1.864885e+002, 1.602556e+003
1.869707e+002, 1.603785e+003
1.874528e+002, 1.603479e+003
1.879349e+002, 1.602527e+003
1.884170e+002, 1.602066e+003
1.888991e+002, 1.602097e+003
1.893812e+002, 1.602625e+003
1.898634e+002, 1.603792e+003
1.903455e+002, 1.605505e+003
1.908276e+002, 1.607436e+003
1.913097e+002, 1.609795e+003
1.917918e+002, 1.611848e+003
1.922739e+002, 1.611808e+003
1.927561e+002, 1.609553e+003
1.932382e+002, 1.607738e+003
1.937203e+002, 1.608194e+003
1.942024e+002, 1.610714e+003
1.946845e+002, 1.612615e+003
1.951666e+002, 1.613621e+003
1.956488e+002, 1.614046e+003
1.961309e+002, 1.614335e+003
1.966130e+002, 1.614443e+003
1.970951e+002, 1.614877e+003
1.975772e+002, 1.616127e+003
1.980593e+002, 1.618215e+003
1.985415e+002, 1.619977e+003
1.990236e+002, 1.621357e+003
1.995057e+002, 1.622361e+003
1.999878e+002, 1.622736e+003
2.004699e+002, 1.622289e+003
2.009520e+002, 1.622184e+003
2.014342e+002, 1.623501e+003
2.019163e+002, 1.626462e+003
