##NAMES=Crandallite
##RRUFFID=R140429
##IDEAL CHEMISTRY=CaAl_3_(PO_4_)(PO_3_OH)(OH)_6_
##LOCALITY=Savannah Pit, Tyrone mine, Grant County, New Mexico, USA
##OWNER=RRUFF
##SOURCE=Ron Gibbs
##DESCRIPTION=Colorless, hexagonal platy crystals
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R140429
294.4102, 1.705963
294.8923, 2.262451
295.3744, 2.430634
295.8565, 1.734344
296.3386, 0.6765140
296.8207, 8.4137000E-02
297.3029, 0.2016600
297.7850, 9.1674998E-02
298.2671, 0.2251890
298.7492, 0.1355290
299.2313, 2.0721000E-02
299.7134, 8.2855001E-02
300.1956, 0.1758420
300.6777, 0.2655330
301.1598, 0.3558040
301.6419, 0.4231570
302.1240, 0.4548650
302.6061, 0.5160830
303.0883, 0.3549500
303.5704, 0.4639280
304.0525, 1.228210
304.5346, 1.301758
305.0167, 0.6212160
305.4988, 0.1777040
305.9810, 0.1875920
306.4631, 0.8736270
306.9452, 1.394562
307.4273, 0.6043400
307.9094, 0.2260740
308.3915, 0.5657650
308.8737, 0.3895260
309.3558, 8.6181998E-02
309.8379, 0.7449950
310.3200, 1.604736
310.8021, 2.293823
311.2842, 2.791656
311.7664, 3.113434
312.2485, 3.268524
312.7306, 3.254028
313.2127, 3.021576
313.6948, 2.429474
314.1769, 1.606903
314.6591, 1.411224
315.1412, 2.609467
315.6233, 3.368256
316.1054, 2.766449
316.5875, 1.574860
317.0696, 0.9056090
317.5518, 1.374115
318.0339, 2.414642
318.5160, 2.484558
318.9981, 0.8671880
319.4802, 0.2340090
319.9623, 0.3196410
320.4445, 0.2183530
320.9266, 1.247559
321.4087, 2.716583
321.8908, 4.172974
322.3729, 4.856628
322.8550, 4.530457
323.3372, 4.273804
323.8193, 4.467041
324.3014, 4.588623
324.7835, 4.164215
325.2656, 3.227234
325.7477, 2.362274
326.2299, 2.294800
326.7120, 3.131104
327.1941, 3.627502
327.6762, 3.286102
328.1583, 2.967133
328.6404, 3.081055
329.1226, 3.552612
329.6047, 4.082886
330.0868, 4.458710
330.5689, 4.680664
331.0510, 4.764038
331.5331, 4.266144
332.0153, 4.345673
332.4974, 5.988068
332.9795, 8.262909
333.4616, 9.808716
333.9437, 9.923676
334.4258, 9.080872
334.9080, 8.279938
335.3901, 7.510803
335.8722, 6.834564
336.3543, 6.277100
336.8365, 5.818176
337.3186, 5.490143
337.8007, 5.311371
338.2828, 5.130615
338.7649, 4.609650
339.2470, 3.635284
339.7292, 3.187012
340.2113, 3.801605
340.6934, 4.759308
341.1755, 5.800476
341.6576, 6.834381
342.1397, 7.562225
342.6219, 7.460327
343.1040, 6.643646
343.5861, 6.458191
344.0682, 7.412262
344.5503, 8.424072
345.0324, 8.874268
345.5146, 8.881378
345.9967, 8.741089
346.4788, 8.525513
346.9609, 8.292786
347.4430, 8.223206
347.9251, 8.400085
348.4073, 8.510742
348.8894, 8.243774
349.3715, 7.880737
349.8536, 7.787140
350.3357, 8.142670
350.8178, 8.646912
351.3000, 8.900085
351.7821, 8.909943
352.2642, 9.125214
352.7463, 10.00864
353.2284, 10.85464
353.7105, 10.79788
354.1927, 9.699829
354.6748, 8.595245
355.1569, 8.151062
355.6390, 8.323334
356.1211, 8.894135
356.6032, 10.13620
357.0854, 11.21964
357.5675, 11.24817
358.0496, 10.41336
358.5317, 9.568665
359.0138, 8.959412
359.4959, 8.567017
359.9781, 8.429230
360.4602, 8.588715
360.9423, 8.725616
361.4244, 8.543457
361.9065, 8.165710
362.3886, 7.960022
362.8708, 8.023193
363.3529, 8.196899
363.8350, 8.453888
364.3171, 8.792297
364.7992, 9.041382
365.2813, 9.135956
365.7635, 9.058533
366.2456, 8.787811
366.7277, 8.268494
367.2098, 7.898163
367.6919, 7.999695
368.1740, 8.261292
368.6562, 8.052124
369.1383, 7.163452
369.6204, 6.062897
370.1025, 5.252075
370.5846, 4.726868
371.0667, 4.539703
371.5489, 5.148895
372.0310, 5.804047
372.5131, 5.650360
372.9952, 4.724762
373.4773, 3.947449
373.9594, 4.064697
374.4416, 4.971497
374.9237, 5.427399
375.4058, 5.162537
375.8879, 4.806793
376.3700, 4.638794
376.8521, 4.549957
377.3343, 4.252472
377.8164, 3.601349
378.2985, 2.851196
378.7806, 2.538971
379.2627, 2.880402
379.7448, 3.303497
380.2270, 4.182343
380.7091, 4.889160
381.1912, 4.595215
381.6733, 3.241486
382.1554, 1.764038
382.6375, 1.275269
383.1197, 2.120789
383.6018, 2.170227
384.0839, 0.6721500
384.5660, 0.7350770
385.0481, 1.268066
385.5302, 1.095032
386.0124, 0.7877200
386.4945, 0.7286990
386.9766, 0.8162230
387.4587, 0.5096440
387.9408, 0.7190550
388.4229, 1.725342
388.9051, 2.159637
389.3872, 2.430511
389.8693, 3.070587
390.3514, 4.222198
390.8335, 5.441620
391.3156, 6.008636
391.7978, 5.748413
392.2799, 5.298187
392.7620, 4.618103
393.2441, 3.804657
393.7262, 2.617493
394.2083, 1.268188
394.6905, 0.4038390
395.1726, 0.6599120
395.6547, 1.909058
396.1368, 2.877289
396.6189, 3.782257
397.1010, 4.012054
397.5832, 2.733795
398.0653, 0.9743350
398.5474, 0.1936340
399.0295, 1.081879
399.5116, 2.595459
399.9937, 2.913330
400.4759, 1.739227
400.9580, 0.9177860
401.4401, 1.236359
401.9222, 1.815674
402.4043, 2.087250
402.8864, 2.012024
403.3686, 1.824371
403.8507, 1.649719
404.3328, 1.495148
404.8149, 1.401245
405.2970, 1.395020
405.7791, 1.397888
406.2613, 1.369171
406.7434, 1.308167
407.2255, 1.210815
407.7076, 1.121521
408.1897, 0.9505310
408.6718, 0.4078980
409.1540, 0.4802550
409.6361, 0.8787540
410.1182, 0.2273860
410.6003, 0.9594730
411.0824, 1.809235
411.5645, 2.331818
412.0467, 2.534821
412.5288, 2.107666
413.0109, 1.437744
413.4930, 1.359802
413.9751, 2.103271
414.4572, 2.810364
414.9394, 2.379852
415.4215, 0.7590940
415.9036, 0.1514590
416.3857, 1.552887
416.8678, 3.209595
417.3499, 4.113007
417.8321, 4.296600
418.3142, 4.053345
418.7963, 3.491089
419.2784, 2.717285
419.7605, 2.101166
420.2426, 1.587616
420.7248, 1.299133
421.2069, 1.442322
421.6890, 1.721191
422.1711, 1.879944
422.6532, 1.843597
423.1353, 1.595062
423.6175, 1.060242
424.0996, 0.1053160
424.5817, 0.4233090
425.0638, 0.3919980
425.5459, 0.1332400
426.0280, 0.3732910
426.5102, 0.9957580
426.9923, 1.505615
427.4744, 1.758270
427.9565, 1.842133
428.4386, 2.085938
428.9207, 2.770477
429.4029, 3.079834
429.8850, 2.698059
430.3671, 2.098999
430.8492, 1.513855
431.3313, 1.056641
431.8134, 0.9730830
432.2956, 1.700745
432.7777, 3.215149
433.2598, 4.065399
433.7419, 3.970184
434.2241, 3.481964
434.7062, 2.601746
435.1883, 1.591125
435.6704, 0.9568480
436.1525, 0.9924320
436.6346, 1.409729
437.1168, 1.738251
437.5989, 1.950531
438.0810, 2.393433
438.5631, 3.480011
439.0452, 4.648712
439.5273, 5.273346
440.0095, 5.308441
440.4916, 5.228577
440.9737, 5.199402
441.4558, 5.209106
441.9379, 5.299866
442.4200, 5.453949
442.9022, 5.636627
443.3843, 5.854095
443.8664, 6.125397
444.3485, 6.519562
444.8306, 7.209290
445.3127, 7.774963
445.7949, 7.879395
446.2770, 7.718170
446.7591, 7.846527
447.2412, 8.468231
447.7233, 9.404053
448.2054, 10.38992
448.6876, 11.65598
449.1697, 12.41995
449.6518, 12.20425
450.1339, 11.80859
450.6160, 11.89120
451.0981, 12.44208
451.5803, 12.99399
452.0624, 13.13721
452.5445, 12.92517
453.0266, 13.07794
453.5087, 13.84995
453.9908, 14.71820
454.4730, 15.77921
454.9551, 16.82013
455.4372, 17.50690
455.9193, 17.76599
456.4014, 17.98151
456.8835, 18.71548
457.3657, 20.05435
457.8478, 21.49768
458.3299, 23.31079
458.8120, 24.94568
459.2941, 26.08969
459.7762, 26.86945
460.2584, 27.66302
460.7405, 28.84027
461.2226, 29.96936
461.7047, 29.93665
462.1868, 28.43777
462.6689, 27.25815
463.1511, 27.35349
463.6332, 27.83893
464.1153, 27.97845
464.5974, 27.72913
465.0795, 26.93628
465.5616, 25.01141
466.0438, 22.55151
466.5259, 20.98669
467.0080, 20.57788
467.4901, 20.37909
467.9722, 19.69510
468.4543, 18.63388
468.9365, 17.85672
469.4186, 17.49182
469.9007, 17.31314
470.3828, 17.32718
470.8649, 17.43622
471.3470, 17.54242
471.8292, 17.64594
472.3113, 17.39011
472.7934, 16.10608
473.2755, 13.15076
473.7576, 11.07602
474.2397, 10.36426
474.7219, 10.06818
475.2040, 9.719513
475.6861, 9.336975
476.1682, 9.059113
476.6503, 8.978790
477.1324, 8.977295
477.6146, 8.372040
478.0967, 6.331451
478.5788, 5.039795
479.0609, 5.203613
479.5430, 5.762177
480.0251, 5.948944
480.5073, 5.639801
480.9894, 5.107391
481.4715, 4.595581
481.9536, 4.097748
482.4357, 3.445801
482.9178, 2.487793
483.4000, 1.758362
483.8821, 1.576752
484.3642, 1.634277
484.8463, 1.463074
485.3284, 0.8572690
485.8105, 0.3790890
486.2927, 0.7941590
486.7748, 1.898560
487.2569, 2.377380
487.7390, 1.793915
488.2211, 0.8409120
488.7032, 4.5012999E-02
489.1854, 0.5786740
489.6675, 0.6535640
490.1496, 0.4985050
490.6317, 1.734039
491.1138, 2.066284
491.5959, 1.658417
492.0781, 1.171112
492.5602, 0.8802800
493.0423, 0.8037410
493.5244, 1.024536
494.0065, 2.024841
494.4886, 2.369720
494.9708, 1.411285
495.4529, 0.2317200
495.9350, 0.4003300
496.4171, 0.4686280
496.8992, 0.3627620
497.3813, 0.3830870
497.8635, 0.4848020
498.3456, 0.3624570
498.8277, 9.6527003E-02
499.3098, 0.6162410
499.7919, 1.528625
500.2740, 2.244324
500.7562, 2.038025
501.2383, 0.8836060
501.7204, 0.3087770
502.2025, 0.4708250
502.6846, 0.2820130
503.1667, 0.4992680
503.6489, 0.1032100
504.1310, 0.7182920
504.6131, 0.9127500
505.0952, 0.8402100
505.5773, 0.6975710
506.0594, 0.5117190
506.5416, 0.2991030
507.0237, 0.1398930
507.5058, 2.5420999E-02
507.9879, 0.3879700
508.4700, 0.9790650
508.9521, 1.834259
509.4343, 3.239899
509.9164, 5.170898
510.3985, 6.238220
510.8806, 5.871979
511.3627, 5.094086
511.8448, 4.201324
512.3270, 3.359711
512.8091, 2.903015
513.2912, 2.989441
513.7733, 3.353241
514.2554, 3.499390
514.7375, 3.276154
515.2197, 3.198303
515.7018, 3.026276
516.1839, 3.199432
516.6660, 4.222229
517.1481, 5.775787
517.6302, 7.079681
518.1124, 7.633698
518.5945, 7.738495
519.0766, 8.290161
519.5587, 9.621246
520.0408, 10.27911
520.5229, 9.237152
521.0051, 7.918793
521.4872, 7.163391
521.9693, 6.993988
522.4514, 7.109253
522.9335, 7.666046
523.4156, 8.283844
523.8978, 8.033569
524.3799, 6.849091
524.8620, 6.055054
525.3441, 6.541870
525.8262, 7.651428
526.3083, 8.062836
526.7905, 7.802277
527.2726, 6.932800
527.7547, 4.781952
528.2368, 2.441925
528.7189, 1.185974
529.2010, 1.073700
529.6832, 1.370972
530.1653, 1.577942
530.6474, 1.688751
531.1295, 1.679199
531.6116, 1.627258
532.0938, 1.321747
532.5759, 0.2446900
533.0580, 0.7965090
533.5401, 0.9122310
534.0222, 9.4971001E-02
534.5043, 0.7841490
