##NAMES=Danielsite
##RRUFFID=R070419
##IDEAL CHEMISTRY=(Cu,Ag)_14_HgS_8_
##LOCALITY=Coppin Pool, Western Australia, Australia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Gray metallic microblebs associated with cerussite and quartz, author's specimen
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070419
508.1357, 101.6469
508.6178, 109.4397
509.0999, 81.89648
509.5820, 43.77808
510.0641, 31.86499
510.5463, 43.93030
511.0284, 52.15369
511.5105, 45.98230
511.9926, 31.85852
512.4747, 17.22888
512.9568, 3.335815
513.4390, 0.5716550
513.9211, 32.93054
514.4032, 73.53674
514.8853, 84.04370
515.3674, 51.55933
515.8495, 21.05652
516.3317, 26.26355
516.8138, 48.57446
517.2959, 62.25623
517.7780, 51.77246
518.2601, 38.77063
518.7422, 30.21594
519.2244, 25.76831
519.7065, 20.67468
520.1886, 11.99109
520.6707, 4.703247
521.1528, 0.8505860
521.6349, 0.3675540
522.1171, 3.988892
522.5992, 14.18054
523.0813, 26.02234
523.5634, 33.66248
524.0455, 37.10071
524.5276, 36.01343
525.0098, 28.92261
525.4919, 17.84619
525.9740, 8.716187
526.4561, 1.483398
526.9382, 3.156738
527.4203, 4.835449
527.9025, 3.660645
528.3846, 1.224487
528.8667, 10.61780
529.3488, 19.17590
529.8309, 22.01099
530.3130, 20.51660
530.7952, 16.97437
531.2773, 10.71106
531.7594, 4.040771
532.2415, 2.152466
532.7236, 7.811646
533.2057, 12.48059
533.6879, 16.29395
534.1700, 18.91052
534.6521, 19.73145
535.1342, 17.34302
535.6163, 17.22681
536.0984, 22.93066
536.5806, 28.59314
537.0627, 27.61389
537.5448, 17.01514
538.0269, 6.311768
538.5090, 4.835083
538.9911, 14.28198
539.4733, 11.26587
539.9554, 6.458374
540.4375, 20.32422
540.9196, 15.90906
541.4017, 1.959473
541.8839, 9.733765
542.3660, 6.280396
542.8481, 0.2919920
543.3302, 5.284790
543.8123, 7.403931
544.2944, 2.937012
544.7766, 14.99280
545.2587, 30.28796
545.7408, 26.54956
546.2229, 9.961548
546.7050, 4.213623
547.1871, 11.74780
547.6693, 13.71973
548.1514, 7.427124
548.6335, 8.612793
549.1156, 17.46851
549.5977, 11.10742
550.0798, 0.3778080
550.5620, 7.872192
551.0441, 16.11169
551.5262, 16.33423
552.0083, 3.925049
552.4904, 13.56274
552.9725, 19.85498
553.4547, 12.37061
553.9368, 7.269043
554.4189, 10.85144
554.9010, 21.05835
555.3831, 32.30408
555.8652, 44.72644
556.3474, 50.99878
556.8295, 39.33008
557.3116, 18.30444
557.7937, 6.532715
558.2758, 7.994995
558.7579, 12.38562
559.2401, 8.703369
559.7222, 2.622314
560.2043, 2.958618
560.6864, 23.35144
561.1685, 40.89685
561.6506, 41.45874
562.1328, 28.72119
562.6149, 22.99731
563.0970, 37.69824
563.5791, 51.67493
564.0612, 55.77075
564.5433, 46.86646
565.0255, 39.52600
565.5076, 32.51550
565.9897, 28.61523
566.4718, 32.21045
566.9539, 44.95764
567.4360, 54.10522
567.9182, 56.43298
568.4003, 55.41516
568.8824, 59.97070
569.3645, 69.34900
569.8466, 74.89673
570.3287, 65.80042
570.8109, 51.83215
571.2930, 53.51355
571.7751, 70.95789
572.2572, 85.99011
572.7393, 82.99060
573.2214, 73.06250
573.7036, 68.02649
574.1857, 72.94678
574.6678, 76.80469
575.1499, 72.86487
575.6320, 66.10974
576.1141, 63.81116
576.5963, 70.14685
577.0784, 77.74744
577.5605, 86.58081
578.0426, 95.89746
578.5247, 101.5676
579.0068, 103.1647
579.4890, 102.0565
579.9711, 98.06213
580.4532, 90.92883
580.9353, 85.72388
581.4174, 82.22900
581.8995, 81.58545
582.3817, 86.20227
582.8638, 94.96533
583.3459, 104.0120
583.8280, 112.9297
584.3101, 120.4897
584.7922, 125.1046
585.2744, 127.4053
585.7565, 128.9274
586.2386, 129.8331
586.7207, 130.8656
587.2028, 131.6318
587.6849, 132.2213
588.1671, 134.9387
588.6492, 143.2772
589.1313, 151.8501
589.6134, 156.9106
590.0955, 155.1285
590.5776, 156.6334
591.0598, 163.4626
591.5419, 171.8970
592.0240, 177.2391
592.5061, 179.3730
592.9882, 179.6135
593.4703, 177.5847
593.9525, 173.7942
594.4346, 169.6407
594.9167, 165.6042
595.3988, 163.5018
595.8809, 164.1813
596.3630, 167.0361
596.8452, 171.1859
597.3273, 176.5233
597.8094, 182.1835
598.2915, 193.1536
598.7736, 202.0077
599.2557, 199.1953
599.7379, 171.2729
600.2200, 152.2271
600.7021, 163.0668
601.1843, 185.7411
601.6664, 191.3265
602.1485, 160.1287
602.6306, 138.0992
603.1127, 134.4602
603.5948, 146.0441
604.0770, 158.5875
604.5591, 173.3160
605.0412, 183.8182
605.5233, 186.3295
606.0054, 181.8901
606.4875, 172.9783
606.9697, 158.5824
607.4518, 147.7892
607.9339, 154.2360
608.4160, 169.8761
608.8981, 177.5121
609.3802, 171.6694
609.8624, 164.6932
610.3445, 164.9673
610.8266, 169.6785
611.3087, 174.2531
611.7908, 178.5239
612.2729, 180.9254
612.7551, 178.1653
613.2372, 171.6793
613.7193, 172.2576
614.2014, 188.9478
614.6835, 201.7551
615.1656, 200.5597
615.6478, 183.0557
616.1299, 173.6364
616.6120, 173.1792
617.0941, 178.8010
617.5762, 192.3278
618.0583, 211.9104
618.5405, 219.4238
619.0226, 209.7285
619.5047, 194.7217
619.9868, 184.5896
620.4689, 180.7836
620.9510, 186.3522
621.4332, 220.1598
621.9153, 248.3671
622.3974, 239.1556
622.8795, 202.6277
623.3616, 180.8081
623.8438, 200.1290
624.3259, 226.4011
624.8080, 246.1326
625.2901, 259.3489
625.7722, 262.2118
626.2543, 248.4719
626.7365, 232.1577
627.2186, 224.5237
627.7007, 227.3337
628.1828, 226.5753
628.6649, 219.7417
629.1470, 212.8456
629.6292, 214.4427
630.1113, 223.7607
630.5934, 237.5963
631.0755, 259.2664
631.5576, 279.7316
632.0397, 287.0394
632.5219, 283.5724
633.0040, 276.5759
633.4861, 267.9078
633.9682, 258.3590
634.4503, 246.4250
634.9324, 231.9297
635.4146, 223.8013
635.8967, 233.2172
636.3788, 242.0148
636.8609, 239.2275
637.3430, 217.0537
637.8251, 205.8478
638.3073, 209.8429
638.7894, 218.5273
639.2715, 218.8728
639.7536, 210.7896
640.2357, 202.0743
640.7178, 192.9320
641.2000, 186.2747
641.6821, 189.1364
642.1642, 198.9794
642.6463, 206.6895
643.1284, 206.1748
643.6105, 203.0135
644.0927, 200.3710
644.5748, 198.6946
645.0569, 200.1622
645.5390, 210.4757
646.0211, 220.2295
646.5032, 223.5897
646.9854, 217.2175
647.4675, 215.0361
647.9496, 216.0570
648.4317, 222.3513
648.9138, 239.3030
649.3959, 271.0139
649.8781, 286.6914
650.3602, 280.5330
650.8423, 264.4423
651.3244, 254.8969
651.8065, 250.9226
652.2886, 247.1281
652.7708, 241.0349
653.2529, 235.1854
653.7350, 231.9171
654.2171, 231.1918
654.6992, 233.0320
655.1813, 235.3501
655.6635, 242.0864
656.1456, 259.3099
656.6277, 286.9979
657.1098, 305.2042
657.5919, 305.9629
658.0740, 302.1890
658.5562, 298.5203
659.0383, 294.0135
659.5204, 295.5988
660.0025, 305.7113
660.4846, 316.1842
660.9667, 314.5836
661.4489, 303.4199
661.9310, 306.6934
662.4131, 333.4204
662.8952, 360.5707
663.3773, 348.7153
