##NAMES=Edwindavisite
##RRUFFID=R230005
##IDEAL CHEMISTRY=Cu^2+^((C_2_)^6+^O_4_)(N^3-^H_3_)
##LOCALITY=125' Level, Rowley mine, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Joe Marty
##DESCRIPTION=Radiating clusters of bladed or prismatic grass-green crystals, associated with blue ammineite. Type sample
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R230005
1.734478e+002, 8.204346e+001
1.739299e+002, 8.205273e+001
1.744121e+002, 8.194376e+001
1.748942e+002, 8.169962e+001
1.753763e+002, 8.126694e+001
1.758584e+002, 8.058323e+001
1.763405e+002, 7.986422e+001
1.768226e+002, 7.890366e+001
1.773048e+002, 7.804567e+001
1.777869e+002, 7.776469e+001
1.782690e+002, 7.836549e+001
1.787511e+002, 7.945582e+001
1.792332e+002, 7.979671e+001
1.797153e+002, 7.857816e+001
1.801975e+002, 7.777142e+001
1.806796e+002, 7.828014e+001
1.811617e+002, 7.927043e+001
1.816438e+002, 7.971848e+001
1.821259e+002, 7.901549e+001
1.826080e+002, 7.731413e+001
1.830902e+002, 7.553252e+001
1.835723e+002, 7.277113e+001
1.840544e+002, 7.090593e+001
1.845365e+002, 7.074072e+001
1.850186e+002, 7.165759e+001
1.855007e+002, 7.266727e+001
1.859829e+002, 7.314890e+001
1.864650e+002, 7.311631e+001
1.869471e+002, 7.283362e+001
1.874292e+002, 7.233104e+001
1.879113e+002, 7.159969e+001
1.883934e+002, 7.049065e+001
1.888756e+002, 6.912422e+001
1.893577e+002, 6.772950e+001
1.898398e+002, 6.641542e+001
1.903219e+002, 6.521927e+001
1.908040e+002, 6.466432e+001
1.912861e+002, 6.522540e+001
1.917683e+002, 6.589396e+001
1.922504e+002, 6.615196e+001
1.927325e+002, 6.601741e+001
1.932146e+002, 6.577438e+001
1.936967e+002, 6.564227e+001
1.941788e+002, 6.558923e+001
1.946610e+002, 6.535896e+001
1.951431e+002, 6.478986e+001
1.956252e+002, 6.415446e+001
1.961073e+002, 6.363349e+001
1.965894e+002, 6.323532e+001
1.970715e+002, 6.297575e+001
1.975536e+002, 6.293434e+001
1.980358e+002, 6.305212e+001
1.985179e+002, 6.315545e+001
1.990000e+002, 6.321832e+001
1.994821e+002, 6.325202e+001
1.999642e+002, 6.330852e+001
2.004464e+002, 6.342583e+001
2.009285e+002, 6.340621e+001
2.014106e+002, 6.283846e+001
2.018927e+002, 6.206939e+001
2.023748e+002, 6.168005e+001
2.028569e+002, 6.215734e+001
2.033391e+002, 6.304002e+001
2.038212e+002, 6.334190e+001
2.043033e+002, 6.285014e+001
2.047854e+002, 6.222845e+001
2.052675e+002, 6.164268e+001
2.057496e+002, 6.117715e+001
2.062318e+002, 6.101374e+001
2.067139e+002, 6.139223e+001
2.071960e+002, 6.209367e+001
2.076781e+002, 6.231453e+001
2.081602e+002, 6.166805e+001
2.086423e+002, 6.111333e+001
2.091245e+002, 6.097673e+001
2.096066e+002, 6.114459e+001
2.100887e+002, 6.147489e+001
2.105708e+002, 6.194515e+001
2.110529e+002, 6.249191e+001
2.115350e+002, 6.271530e+001
2.120172e+002, 6.249950e+001
2.124993e+002, 6.204424e+001
2.129814e+002, 6.092713e+001
2.134635e+002, 5.966526e+001
2.139456e+002, 5.918536e+001
2.144277e+002, 6.025921e+001
2.149099e+002, 6.266364e+001
2.153920e+002, 6.380758e+001
2.158741e+002, 6.220357e+001
2.163562e+002, 6.074565e+001
2.168383e+002, 5.983474e+001
2.173204e+002, 5.949486e+001
2.178026e+002, 5.975500e+001
2.182847e+002, 6.072472e+001
2.187668e+002, 6.233053e+001
2.192489e+002, 6.300100e+001
2.197310e+002, 6.163201e+001
2.202131e+002, 6.053904e+001
2.206953e+002, 6.052284e+001
2.211774e+002, 6.126608e+001
2.216595e+002, 6.205577e+001
2.221416e+002, 6.243008e+001
2.226237e+002, 6.239768e+001
2.231058e+002, 6.208992e+001
2.235880e+002, 6.113456e+001
2.240701e+002, 6.034026e+001
2.245522e+002, 6.000352e+001
2.250343e+002, 6.006227e+001
2.255164e+002, 6.033199e+001
2.259985e+002, 6.070988e+001
2.264807e+002, 6.119364e+001
2.269628e+002, 6.173407e+001
2.274449e+002, 6.256019e+001
2.279270e+002, 6.321025e+001
2.284091e+002, 6.340305e+001
2.288912e+002, 6.322753e+001
2.293733e+002, 6.296052e+001
2.298555e+002, 6.270458e+001
2.303376e+002, 6.252798e+001
2.308197e+002, 6.269434e+001
2.313018e+002, 6.355737e+001
2.317839e+002, 6.439407e+001
2.322660e+002, 6.480571e+001
2.327482e+002, 6.484963e+001
2.332303e+002, 6.479032e+001
2.337124e+002, 6.466473e+001
2.341945e+002, 6.460915e+001
2.346766e+002, 6.498421e+001
2.351587e+002, 6.623553e+001
2.356409e+002, 6.738612e+001
2.361230e+002, 6.758627e+001
2.366051e+002, 6.696368e+001
2.370872e+002, 6.663107e+001
2.375693e+002, 6.738618e+001
2.380514e+002, 6.864500e+001
2.385336e+002, 6.919640e+001
2.390157e+002, 6.880347e+001
2.394978e+002, 6.804243e+001
2.399799e+002, 6.721346e+001
2.404620e+002, 6.632747e+001
2.409441e+002, 6.562450e+001
2.414263e+002, 6.516404e+001
2.419084e+002, 6.500198e+001
2.423905e+002, 6.533249e+001
2.428726e+002, 6.643303e+001
2.433547e+002, 6.726843e+001
2.438368e+002, 6.661307e+001
2.443190e+002, 6.443724e+001
2.448011e+002, 6.265395e+001
2.452832e+002, 6.206991e+001
2.457653e+002, 6.208762e+001
2.462474e+002, 6.218110e+001
2.467295e+002, 6.229425e+001
2.472117e+002, 6.246024e+001
2.476938e+002, 6.291124e+001
2.481759e+002, 6.370313e+001
2.486580e+002, 6.384257e+001
2.491401e+002, 6.236039e+001
2.496222e+002, 6.060575e+001
2.501044e+002, 5.954770e+001
2.505865e+002, 5.930367e+001
2.510686e+002, 5.937671e+001
2.515507e+002, 5.938108e+001
2.520328e+002, 5.933862e+001
2.525149e+002, 5.900264e+001
2.529971e+002, 5.778283e+001
2.534792e+002, 5.666269e+001
2.539613e+002, 5.631588e+001
2.544434e+002, 5.674819e+001
2.549255e+002, 5.735534e+001
2.554076e+002, 5.759842e+001
2.558898e+002, 5.746679e+001
2.563719e+002, 5.704300e+001
2.568540e+002, 5.588274e+001
2.573361e+002, 5.476857e+001
2.578182e+002, 5.406583e+001
2.583003e+002, 5.377304e+001
2.587824e+002, 5.366788e+001
2.592646e+002, 5.357287e+001
2.597467e+002, 5.349609e+001
2.602288e+002, 5.337095e+001
2.607109e+002, 5.302541e+001
2.611930e+002, 5.277830e+001
2.616751e+002, 5.288421e+001
2.621573e+002, 5.323884e+001
2.626394e+002, 5.349258e+001
2.631215e+002, 5.329188e+001
2.636036e+002, 5.258887e+001
2.640857e+002, 5.203178e+001
2.645678e+002, 5.173721e+001
2.650500e+002, 5.149272e+001
2.655321e+002, 5.127344e+001
2.660142e+002, 5.105709e+001
2.664963e+002, 5.079189e+001
2.669784e+002, 5.039370e+001
2.674605e+002, 4.986367e+001
2.679427e+002, 4.968839e+001
2.684248e+002, 5.061866e+001
2.689069e+002, 5.117324e+001
2.693890e+002, 5.061095e+001
2.698711e+002, 4.939865e+001
2.703532e+002, 4.847322e+001
2.708354e+002, 4.849768e+001
2.713175e+002, 4.938205e+001
2.717996e+002, 5.007343e+001
2.722817e+002, 5.031777e+001
2.727638e+002, 5.062220e+001
2.732459e+002, 5.139278e+001
2.737281e+002, 5.223158e+001
2.742102e+002, 5.241801e+001
2.746923e+002, 5.147099e+001
2.751744e+002, 4.971273e+001
2.756565e+002, 4.878318e+001
2.761386e+002, 4.981762e+001
2.766208e+002, 5.048276e+001
2.771029e+002, 5.035107e+001
2.775850e+002, 4.976342e+001
2.780671e+002, 4.914454e+001
2.785492e+002, 4.869307e+001
2.790313e+002, 4.837480e+001
2.795135e+002, 4.808819e+001
2.799956e+002, 4.779145e+001
2.804777e+002, 4.758826e+001
2.809598e+002, 4.747319e+001
2.814419e+002, 4.745618e+001
2.819240e+002, 4.758429e+001
2.824062e+002, 4.786965e+001
2.828883e+002, 4.822306e+001
2.833704e+002, 4.846809e+001
2.838525e+002, 4.864480e+001
2.843346e+002, 4.862453e+001
2.848167e+002, 4.803891e+001
2.852989e+002, 4.746603e+001
2.857810e+002, 4.763445e+001
2.862631e+002, 4.866305e+001
2.867452e+002, 4.976799e+001
2.872273e+002, 4.969558e+001
2.877094e+002, 4.733877e+001
2.881916e+002, 4.631173e+001
2.886737e+002, 4.765743e+001
2.891558e+002, 4.950399e+001
2.896379e+002, 5.065382e+001
2.901200e+002, 5.086497e+001
2.906021e+002, 5.037719e+001
2.910843e+002, 4.931042e+001
2.915664e+002, 4.724999e+001
2.920485e+002, 4.649998e+001
2.925306e+002, 4.827306e+001
2.930127e+002, 5.016842e+001
2.934948e+002, 5.069969e+001
2.939770e+002, 4.990276e+001
2.944591e+002, 4.872035e+001
2.949412e+002, 4.794275e+001
2.954233e+002, 4.759850e+001
2.959054e+002, 4.734403e+001
2.963875e+002, 4.716853e+001
2.968697e+002, 4.707205e+001
2.973518e+002, 4.708028e+001
2.978339e+002, 4.717132e+001
2.983160e+002, 4.732131e+001
2.987981e+002, 4.754627e+001
2.992802e+002, 4.781363e+001
2.997624e+002, 4.772027e+001
3.002445e+002, 4.670814e+001
3.007266e+002, 4.601357e+001
3.012087e+002, 4.628545e+001
3.016908e+002, 4.711394e+001
3.021729e+002, 4.768195e+001
3.026551e+002, 4.752947e+001
3.031372e+002, 4.691441e+001
3.036193e+002, 4.676351e+001
3.041014e+002, 4.760988e+001
3.045835e+002, 4.823573e+001
3.050656e+002, 4.838793e+001
3.055477e+002, 4.824800e+001
3.060298e+002, 4.804916e+001
3.065120e+002, 4.787973e+001
3.069941e+002, 4.768275e+001
3.074762e+002, 4.733164e+001
